Observation_id,Phase,Count_FVO_Distance,Count_Fllw_Kin,Count_HSH_None,Count_Htlt_None,Count_Look_At speaker,Count_Look_Away from speaker,Count_Voc_Contact,Count_FVO_Other,Count_Agn_Towards other,Count_Voc_Recruitment,Count_FVO_Recruitment,Count_Voc_Other,Count_FVO_Departure,Count_Voc_Distance,Count_FVO_Contact,Count_Voc_Departure,Count_Dep_With kin,Duration_Dhb_None,Duration_Mov_Away from speaker,Duration_Pre_With kin,Duration_Rst_With kin,Duration_Vig_Mid neck,Duration_Vig_Short Neck,Duration_Eat_With kin,Duration_Mov_Towards speaker,Duration_Ass_Kin,Duration_Pre_Alone,Duration_Eat_Alone,Duration_Vig_Long neck,Duration_Hab_None,Duration_Rst_Alone,Duration_Eat_With other,Duration_Pre_With other
Allegra_FC_17112022_1052,Silence_1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegra_FC_17112022_1052,Habituation,3,1,1,0,4,14,3,4,0,0,0,0,0,0,0,0,0,0,36,0,0,54,0,35,0,0,0,0,0,0,0,0,0
Allegra_FC_17112022_1052,Silence_2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegra_FC_17112022_1052,Dishabituation,4,3,5,2,17,47,3,0,0,0,0,0,0,0,0,0,0,150,79,6,25,177,81,0,0,0,0,0,0,0,0,0,0
Allegra_FC_17112022_1052,Silence_3,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,28,0,9,14,0,0,0,0,0,0,0,0,0,0
Allegra_FRF_20112022_0943,Silence_1,0,0,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25,10,0,0,0,0,0,0,0,0,0,0,0
Allegra_FRF_20112022_0943,Habituation,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0
Allegra_FRF_20112022_0943,Silence_2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Allegra_FRF_20112022_0943,Dishabituation,11,0,1,0,15,9,0,5,0,0,0,0,0,0,0,0,0,0,0,68,108,0,64,0,0,0,0,0,0,0,0,0,0
Allegra_FRF_20112022_0943,Silence_3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
Allegra_PRF_08102022_0856,Silence_1,1,0,2,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,10,14,0,15,0,0,0,0,0,0,0,0,0,0
Allegra_PRF_08102022_0856,Habituation,4,0,0,1,11,2,21,0,0,0,0,0,0,0,0,0,0,0,0,9,20,4,12,0,0,0,0,0,0,0,0,0,0
Allegra_PRF_08102022_0856,Silence_2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegra_PRF_08102022_0856,Dishabituation,9,0,0,0,10,3,4,2,0,0,0,0,0,0,0,0,0,0,0,59,0,18,0,0,0,0,0,0,0,0,0,0,0
Allegra_PRF_08102022_0856,Silence_3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,8,0,0,0,0,0,0,0,0,0,0,0
Anthony_FC_08112022_0843,Silence_1,0,0,3,0,6,9,8,0,0,0,0,0,0,0,0,0,0,0,18,0,0,56,0,37,20,60,10,0,0,0,0,0,0
Anthony_FC_08112022_0843,Habituation,2,3,4,0,13,34,15,3,3,0,0,0,0,0,0,0,0,0,91,0,0,126,0,97,9,0,0,0,0,0,0,0,0
Anthony_FC_08112022_0843,Silence_2,0,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0
Anthony_FC_08112022_0843,Dishabituation,2,0,0,0,8,8,4,1,2,0,0,0,0,0,0,0,0,0,7,0,0,20,0,201,0,0,0,0,0,0,0,0,0
Anthony_FC_08112022_0843,Silence_3,1,0,1,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,28,0,3,0,0,0,0,0,0,0,0,0
Anthony_FC_12102022_0942,Silence_1,0,1,4,1,21,3,2,0,0,0,0,0,0,0,0,0,0,0,20,31,0,0,0,23,20,0,0,0,86,0,0,0,0
Anthony_FC_12102022_0942,Habituation,0,0,0,1,24,22,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,74,0,116,67,0,0,0,0,0,0,0,0
Anthony_FC_12102022_0942,Silence_2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony_FC_12102022_0942,Dishabituation,0,1,8,0,13,12,19,0,2,1,0,0,0,0,0,0,0,0,5,0,0,14,0,81,2,0,0,26,0,0,0,0,0
Anthony_FC_12102022_0942,Silence_3,0,0,4,2,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,69,0,0,0,0,0,0,0,0,0,0,0
Anthony_FRF_21112022_0930,Silence_1,3,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,5,0,0,0,0,0,0,0,0,0,0
Anthony_FRF_21112022_0930,Habituation,18,0,0,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0
