Observation_id,Phase,Behaviour,Behavioural_category.x,Modifier,Count,Phase_Duration_s,Rate_per_Phase_Duration,Duration_in_Phase_s,Total_Duration_s
Allegra_FC_17112022_1052,Silence_1,FVO,Reaction,Other,3,78,0.038461538461538464,NA,NA
Allegra_FC_17112022_1052,Silence_1,Look,Reaction,Away from speaker,1,78,0.01282051282051282,NA,NA
Allegra_FC_17112022_1052,Habituation,FVO,Reaction,Distance,3,242,0.012396694214876033,NA,NA
Allegra_FC_17112022_1052,Habituation,FVO,Reaction,Other,4,242,0.01652892561983471,NA,NA
Allegra_FC_17112022_1052,Habituation,Fllw,Interaction,Kin,1,242,0.004132231404958678,NA,NA
Allegra_FC_17112022_1052,Habituation,HSH,Reaction,NA,1,242,0.004132231404958678,NA,NA
Allegra_FC_17112022_1052,Habituation,Look,Reaction,At speaker,4,242,0.01652892561983471,NA,NA
Allegra_FC_17112022_1052,Habituation,Look,Reaction,Away from speaker,14,242,0.05785123966942149,NA,NA
Allegra_FC_17112022_1052,Habituation,Voc,Reaction,Contact,3,242,0.012396694214876033,NA,NA
Allegra_FC_17112022_1052,Silence_2,FVO,Reaction,Other,7,58,0.1206896551724138,NA,NA
Allegra_FC_17112022_1052,Dishabituation,FVO,Reaction,Distance,4,304,0.013157894736842105,NA,NA
Allegra_FC_17112022_1052,Dishabituation,Fllw,Interaction,Kin,3,304,0.009868421052631578,NA,NA
Allegra_FC_17112022_1052,Dishabituation,HSH,Reaction,NA,5,304,0.01644736842105263,NA,NA
Allegra_FC_17112022_1052,Dishabituation,Htlt,Reaction,NA,2,304,0.006578947368421052,NA,NA
Allegra_FC_17112022_1052,Dishabituation,Look,Reaction,At speaker,17,304,0.05592105263157895,NA,NA
Allegra_FC_17112022_1052,Dishabituation,Look,Reaction,Away from speaker,47,304,0.15460526315789475,NA,NA
Allegra_FC_17112022_1052,Dishabituation,Voc,Reaction,Contact,3,304,0.009868421052631578,NA,NA
Allegra_FC_17112022_1052,Silence_3,FVO,Reaction,Other,1,71,0.014084507042253521,NA,NA
Allegra_FC_17112022_1052,Silence_3,Look,Reaction,Away from speaker,15,71,0.2112676056338028,NA,NA
Allegra_FC_17112022_1052,Silence_3,Voc,Reaction,Contact,1,71,0.014084507042253521,NA,NA
Allegra_FRF_20112022_0943,Silence_1,FVO,Reaction,Other,1,87,0.011494252873563218,NA,NA
Allegra_FRF_20112022_0943,Silence_1,HSH,Reaction,NA,1,87,0.011494252873563218,NA,NA
Allegra_FRF_20112022_0943,Silence_1,Look,Reaction,At speaker,6,87,0.06896551724137931,NA,NA
Allegra_FRF_20112022_0943,Silence_1,Look,Reaction,Away from speaker,2,87,0.022988505747126436,NA,NA
Allegra_FRF_20112022_0943,Habituation,FVO,Reaction,Distance,6,247,0.024291497975708502,NA,NA
Allegra_FRF_20112022_0943,Habituation,Look,Reaction,At speaker,8,247,0.032388663967611336,NA,NA
Allegra_FRF_20112022_0943,Silence_2,FVO,Reaction,Distance,2,52,0.038461538461538464,NA,NA
Allegra_FRF_20112022_0943,Silence_2,Look,Reaction,At speaker,2,52,0.038461538461538464,NA,NA
Allegra_FRF_20112022_0943,Silence_2,Look,Reaction,Away from speaker,2,52,0.038461538461538464,NA,NA
Allegra_FRF_20112022_0943,Dishabituation,FVO,Reaction,Distance,11,246,0.044715447154471545,NA,NA
Allegra_FRF_20112022_0943,Dishabituation,FVO,Reaction,Other,5,246,0.02032520325203252,NA,NA
Allegra_FRF_20112022_0943,Dishabituation,HSH,Reaction,NA,1,246,0.0040650406504065045,NA,NA
Allegra_FRF_20112022_0943,Dishabituation,Look,Reaction,At speaker,15,246,0.06097560975609756,NA,NA
Allegra_FRF_20112022_0943,Dishabituation,Look,Reaction,Away from speaker,9,246,0.036585365853658534,NA,NA
Allegra_FRF_20112022_0943,Silence_3,FVO,Reaction,Other,2,63,0.031746031746031744,NA,NA
Allegra_PRF_08102022_0856,Silence_1,Agn,Interaction,Towards other,2,116,0.017241379310344827,NA,NA
Allegra_PRF_08102022_0856,Silence_1,FVO,Reaction,Distance,1,116,0.008620689655172414,NA,NA
Allegra_PRF_08102022_0856,Silence_1,HSH,Reaction,NA,2,116,0.017241379310344827,NA,NA
Allegra_PRF_08102022_0856,Silence_1,Look,Reaction,At speaker,5,116,0.04310344827586207,NA,NA
Allegra_PRF_08102022_0856,Silence_1,Look,Reaction,Away from speaker,3,116,0.02586206896551724,NA,NA
Allegra_PRF_08102022_0856,Habituation,FVO,Reaction,Distance,4,246,0.016260162601626018,NA,NA
Allegra_PRF_08102022_0856,Habituation,Htlt,Reaction,NA,1,246,0.0040650406504065045,NA,NA
Allegra_PRF_08102022_0856,Habituation,Look,Reaction,At speaker,11,246,0.044715447154471545,NA,NA
Allegra_PRF_08102022_0856,Habituation,Look,Reaction,Away from speaker,2,246,0.008130081300813009,NA,NA
Allegra_PRF_08102022_0856,Habituation,Voc,Reaction,Contact,21,246,0.08536585365853659,NA,NA
Allegra_PRF_08102022_0856,Silence_2,FVO,Reaction,Distance,2,54,0.037037037037037035,NA,NA
Allegra_PRF_08102022_0856,Dishabituation,FVO,Reaction,Distance,9,245,0.036734693877551024,NA,NA
Allegra_PRF_08102022_0856,Dishabituation,FVO,Reaction,Other,2,245,0.00816326530612245,NA,NA
Allegra_PRF_08102022_0856,Dishabituation,Look,Reaction,At speaker,10,245,0.04081632653061224,NA,NA
Allegra_PRF_08102022_0856,Dishabituation,Look,Reaction,Away from speaker,3,245,0.012244897959183673,NA,NA
Allegra_PRF_08102022_0856,Dishabituation,Voc,Reaction,Contact,4,245,0.0163265306122449,NA,NA
Allegra_PRF_08102022_0856,Silence_3,FVO,Reaction,Distance,5,73,0.0684931506849315,NA,NA
Allegra_PRF_08102022_0856,Silence_3,Look,Reaction,At speaker,8,73,0.1095890410958904,NA,NA
Anthony_FC_08112022_0843,Silence_1,HSH,Reaction,NA,3,107,0.028037383177570093,NA,NA
Anthony_FC_08112022_0843,Silence_1,Look,Reaction,At speaker,6,107,0.056074766355140186,NA,NA
Anthony_FC_08112022_0843,Silence_1,Look,Reaction,Away from speaker,9,107,0.08411214953271028,NA,NA
Anthony_FC_08112022_0843,Silence_1,Voc,Reaction,Contact,8,107,0.07476635514018691,NA,NA
Anthony_FC_08112022_0843,Habituation,Agn,Interaction,Towards other,3,251,0.01195219123505976,NA,NA
Anthony_FC_08112022_0843,Habituation,FVO,Reaction,Distance,2,251,0.00796812749003984,NA,NA
Anthony_FC_08112022_0843,Habituation,FVO,Reaction,Other,3,251,0.01195219123505976,NA,NA
Anthony_FC_08112022_0843,Habituation,Fllw,Interaction,Kin,3,251,0.01195219123505976,NA,NA
Anthony_FC_08112022_0843,Habituation,HSH,Reaction,NA,4,251,0.01593625498007968,NA,NA
Anthony_FC_08112022_0843,Habituation,Look,Reaction,At speaker,13,251,0.05179282868525897,NA,NA
Anthony_FC_08112022_0843,Habituation,Look,Reaction,Away from speaker,34,251,0.13545816733067728,NA,NA
Anthony_FC_08112022_0843,Habituation,Voc,Reaction,Contact,15,251,0.05976095617529881,NA,NA
Anthony_FC_08112022_0843,Silence_2,Look,Reaction,At speaker,6,48,0.125,NA,NA
Anthony_FC_08112022_0843,Silence_2,Look,Reaction,Away from speaker,3,48,0.0625,NA,NA
Anthony_FC_08112022_0843,Silence_2,Voc,Reaction,Contact,1,48,0.020833333333333332,NA,NA
Anthony_FC_08112022_0843,Dishabituation,Agn,Interaction,Towards other,2,245,0.00816326530612245,NA,NA
Anthony_FC_08112022_0843,Dishabituation,FVO,Reaction,Distance,2,245,0.00816326530612245,NA,NA
Anthony_FC_08112022_0843,Dishabituation,FVO,Reaction,Other,1,245,0.004081632653061225,NA,NA
Anthony_FC_08112022_0843,Dishabituation,Look,Reaction,At speaker,8,245,0.0326530612244898,NA,NA
Anthony_FC_08112022_0843,Dishabituation,Look,Reaction,Away from speaker,8,245,0.0326530612244898,NA,NA
Anthony_FC_08112022_0843,Dishabituation,Voc,Reaction,Contact,4,245,0.0163265306122449,NA,NA
Anthony_FC_08112022_0843,Silence_3,FVO,Reaction,Distance,1,69,0.014492753623188406,NA,NA
Anthony_FC_08112022_0843,Silence_3,HSH,Reaction,NA,1,69,0.014492753623188406,NA,NA
Anthony_FC_08112022_0843,Silence_3,Look,Reaction,At speaker,7,69,0.10144927536231885,NA,NA
Anthony_FC_08112022_0843,Silence_3,Look,Reaction,Away from speaker,5,69,0.07246376811594203,NA,NA
Anthony_FC_08112022_0843,Silence_3,Voc,Reaction,Contact,1,69,0.014492753623188406,NA,NA
Anthony_FC_12102022_0942,Silence_1,Fllw,Interaction,Kin,1,141,0.0070921985815602835,NA,NA
Anthony_FC_12102022_0942,Silence_1,HSH,Reaction,NA,4,141,0.028368794326241134,NA,NA
Anthony_FC_12102022_0942,Silence_1,Htlt,Reaction,NA,1,141,0.0070921985815602835,NA,NA
Anthony_FC_12102022_0942,Silence_1,Look,Reaction,At speaker,21,141,0.14893617021276595,NA,NA
Anthony_FC_12102022_0942,Silence_1,Look,Reaction,Away from speaker,3,141,0.02127659574468085,NA,NA
Anthony_FC_12102022_0942,Silence_1,Voc,Reaction,Contact,2,141,0.014184397163120567,NA,NA
Anthony_FC_12102022_0942,Habituation,Htlt,Reaction,NA,1,254,0.003937007874015748,NA,NA
Anthony_FC_12102022_0942,Habituation,Look,Reaction,At speaker,24,254,0.09448818897637795,NA,NA
Anthony_FC_12102022_0942,Habituation,Look,Reaction,Away from speaker,22,254,0.08661417322834646,NA,NA
