Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/RU53.MP4	0	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	0	H:/Individual recognition vids/Blind videos/RU53.MP4	0	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	START	0	H:/Individual recognition vids/Blind videos/RU53.MP4	0	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	3.56	H:/Individual recognition vids/Blind videos/RU53.MP4	89	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		FVO	Reaction	Distance	POINT	6.28	H:/Individual recognition vids/Blind videos/RU53.MP4	157	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	6.44	H:/Individual recognition vids/Blind videos/RU53.MP4	161	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Recruitment	POINT	9.16	H:/Individual recognition vids/Blind videos/RU53.MP4	229	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	9.4	H:/Individual recognition vids/Blind videos/RU53.MP4	235	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	12.4	H:/Individual recognition vids/Blind videos/RU53.MP4	310	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	13.48	H:/Individual recognition vids/Blind videos/RU53.MP4	337	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	15.92	H:/Individual recognition vids/Blind videos/RU53.MP4	398	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	18.04	H:/Individual recognition vids/Blind videos/RU53.MP4	451	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	21.64	H:/Individual recognition vids/Blind videos/RU53.MP4	541	NA
