Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/DS73.MP4	0	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	0.000	G:/Individual recognition vids/Blind videos/DS73.MP4	NA	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		HSH	Reaction		POINT	2.200	G:/Individual recognition vids/Blind videos/DS73.MP4	55	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	2.840	G:/Individual recognition vids/Blind videos/DS73.MP4	71	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		HSH	Reaction		POINT	4.600	G:/Individual recognition vids/Blind videos/DS73.MP4	115	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	6.640	G:/Individual recognition vids/Blind videos/DS73.MP4	166	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		HSH	Reaction		POINT	8.120	G:/Individual recognition vids/Blind videos/DS73.MP4	203	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	STOP	9.679	G:/Individual recognition vids/Blind videos/DS73.MP4	NA	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	9.680	G:/Individual recognition vids/Blind videos/DS73.MP4	242	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	31.080	G:/Individual recognition vids/Blind videos/DS73.MP4	777	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	32.040	G:/Individual recognition vids/Blind videos/DS73.MP4	801	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	STOP	34.839	G:/Individual recognition vids/Blind videos/DS73.MP4	NA	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	34.840	G:/Individual recognition vids/Blind videos/DS73.MP4	871	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	34.840	G:/Individual recognition vids/Blind videos/DS73.MP4	871	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	36.720	G:/Individual recognition vids/Blind videos/DS73.MP4	918	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	STOP	40.959	G:/Individual recognition vids/Blind videos/DS73.MP4	NA	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	40.960	G:/Individual recognition vids/Blind videos/DS73.MP4	1024	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		HSH	Reaction		POINT	44.800	G:/Individual recognition vids/Blind videos/DS73.MP4	1120	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	45.440	G:/Individual recognition vids/Blind videos/DS73.MP4	1136	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	STOP	46.199	G:/Individual recognition vids/Blind videos/DS73.MP4	NA	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	46.200	G:/Individual recognition vids/Blind videos/DS73.MP4	1155	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Mov	Locomotion	Towards speaker	START	46.920	G:/Individual recognition vids/Blind videos/DS73.MP4	1173	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	50.000	G:/Individual recognition vids/Blind videos/DS73.MP4	1250	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	51.640	G:/Individual recognition vids/Blind videos/DS73.MP4	1291	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	53.400	G:/Individual recognition vids/Blind videos/DS73.MP4	1335	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	54.400	G:/Individual recognition vids/Blind videos/DS73.MP4	1360	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	56.000	G:/Individual recognition vids/Blind videos/DS73.MP4	1400	NA	
DS73	2024-01-15 22:49:48		764.160	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DS73.MP4	764.160	25.000	Anthony	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	Departure	1m		Mov	Locomotion	Towards speaker	STOP	66.720	G:/Individual recognition vids/Blind videos/DS73.MP4	1668	NA	
