Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/BY58.MP4	0	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Rst	Time budget	With kin	START	0.000	G:/Individual recognition vids/Blind videos/BY58.MP4	0	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Look	Reaction	At speaker	POINT	15.400	G:/Individual recognition vids/Blind videos/BY58.MP4	385	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Look	Reaction	At speaker	POINT	84.400	G:/Individual recognition vids/Blind videos/BY58.MP4	2110	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Hab	Playback phase		START	93.800	G:/Individual recognition vids/Blind videos/BY58.MP4	2345	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Htlt	Reaction		POINT	95.520	G:/Individual recognition vids/Blind videos/BY58.MP4	2388	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Htlt	Reaction		POINT	136.840	G:/Individual recognition vids/Blind videos/BY58.MP4	3421	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Look	Reaction	At speaker	POINT	182.640	G:/Individual recognition vids/Blind videos/BY58.MP4	4566	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		FVO	Reaction	Other	POINT	186.040	G:/Individual recognition vids/Blind videos/BY58.MP4	4651	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Voc	Reaction	Contact	POINT	194.840	G:/Individual recognition vids/Blind videos/BY58.MP4	4871	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Rst	Time budget	With kin	STOP	256.199	G:/Individual recognition vids/Blind videos/BY58.MP4	NA	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Vig	Time budget	Long neck	START	256.200	G:/Individual recognition vids/Blind videos/BY58.MP4	6406	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Look	Reaction	At speaker	POINT	258.600	G:/Individual recognition vids/Blind videos/BY58.MP4	6465	NA	
BY58	2024-01-01 20:59:24		710.880	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/BY58.MP4	710.880	25.000	Idgie	FRF		2022-09-11T10:00:00	 Inner eriphery	Overcast	KLF	 recruitment	1m		Look	Reaction	At speaker	POINT	260.120	G:/Individual recognition vids/Blind videos/BY58.MP4	6503	NA	
