Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/DX39.MP4	0	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Pre	Time budget	With kin	START	0.000	G:/Individual recognition vids/Blind videos/DX39.MP4	0	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	34.720	G:/Individual recognition vids/Blind videos/DX39.MP4	868	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	39.840	G:/Individual recognition vids/Blind videos/DX39.MP4	996	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	61.960	G:/Individual recognition vids/Blind videos/DX39.MP4	1549	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	63.880	G:/Individual recognition vids/Blind videos/DX39.MP4	1597	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	70.920	G:/Individual recognition vids/Blind videos/DX39.MP4	1773	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	96.920	G:/Individual recognition vids/Blind videos/DX39.MP4	2423	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Pre	Time budget	With kin	STOP	97.879	G:/Individual recognition vids/Blind videos/DX39.MP4	NA	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Vig	Time budget	Short Neck	START	97.880	G:/Individual recognition vids/Blind videos/DX39.MP4	2447	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Hab	Playback phase		START	99.400	G:/Individual recognition vids/Blind videos/DX39.MP4	2485	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	100.600	G:/Individual recognition vids/Blind videos/DX39.MP4	2515	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Vig	Time budget	Short Neck	STOP	106.239	G:/Individual recognition vids/Blind videos/DX39.MP4	NA	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Rst	Time budget	With kin	START	106.240	G:/Individual recognition vids/Blind videos/DX39.MP4	2656	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Rst	Time budget	With kin	STOP	114.999	G:/Individual recognition vids/Blind videos/DX39.MP4	NA	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Pre	Time budget	With kin	START	115.000	G:/Individual recognition vids/Blind videos/DX39.MP4	2875	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	121.640	G:/Individual recognition vids/Blind videos/DX39.MP4	3041	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	127.440	G:/Individual recognition vids/Blind videos/DX39.MP4	3186	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	143.440	G:/Individual recognition vids/Blind videos/DX39.MP4	3586	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	159.880	G:/Individual recognition vids/Blind videos/DX39.MP4	3997	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	160.240	G:/Individual recognition vids/Blind videos/DX39.MP4	4006	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Voc	Reaction	Contact	POINT	162.200	G:/Individual recognition vids/Blind videos/DX39.MP4	4055	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	169.680	G:/Individual recognition vids/Blind videos/DX39.MP4	4242	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	186.440	G:/Individual recognition vids/Blind videos/DX39.MP4	4661	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	222.400	G:/Individual recognition vids/Blind videos/DX39.MP4	5560	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	250.960	G:/Individual recognition vids/Blind videos/DX39.MP4	6274	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	255.160	G:/Individual recognition vids/Blind videos/DX39.MP4	6379	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	256.240	G:/Individual recognition vids/Blind videos/DX39.MP4	6406	NA	
DX39	2024-01-21 17:30:34		725.280	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DX39.MP4	725.280	25.000	Joe	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	261.160	G:/Individual recognition vids/Blind videos/DX39.MP4	6529	NA	
