Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.760	H:/Individual recognition vids/Blind videos/PQ37.MP4	19	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Short Neck	START	0.760	H:/Individual recognition vids/Blind videos/PQ37.MP4	19	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	1.920	H:/Individual recognition vids/Blind videos/PQ37.MP4	48	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	5.240	H:/Individual recognition vids/Blind videos/PQ37.MP4	131	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	7.880	H:/Individual recognition vids/Blind videos/PQ37.MP4	197	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	9.000	H:/Individual recognition vids/Blind videos/PQ37.MP4	225	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	10.400	H:/Individual recognition vids/Blind videos/PQ37.MP4	260	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	14.680	H:/Individual recognition vids/Blind videos/PQ37.MP4	367	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Short Neck	STOP	15.919	H:/Individual recognition vids/Blind videos/PQ37.MP4	NA	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Eat	Time budget	With kin	START	15.920	H:/Individual recognition vids/Blind videos/PQ37.MP4	398	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	26.280	H:/Individual recognition vids/Blind videos/PQ37.MP4	657	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	27.360	H:/Individual recognition vids/Blind videos/PQ37.MP4	684	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	29.640	H:/Individual recognition vids/Blind videos/PQ37.MP4	741	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Eat	Time budget	With kin	STOP	30.599	H:/Individual recognition vids/Blind videos/PQ37.MP4	NA	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Short Neck	START	30.600	H:/Individual recognition vids/Blind videos/PQ37.MP4	765	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	31.200	H:/Individual recognition vids/Blind videos/PQ37.MP4	780	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	32.000	H:/Individual recognition vids/Blind videos/PQ37.MP4	800	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Short Neck	STOP	33.119	H:/Individual recognition vids/Blind videos/PQ37.MP4	NA	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	START	33.120	H:/Individual recognition vids/Blind videos/PQ37.MP4	828	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	34.400	H:/Individual recognition vids/Blind videos/PQ37.MP4	860	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	36.440	H:/Individual recognition vids/Blind videos/PQ37.MP4	911	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	38.400	H:/Individual recognition vids/Blind videos/PQ37.MP4	960	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	41.160	H:/Individual recognition vids/Blind videos/PQ37.MP4	1029	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Mov	Locomotion	Towards speaker	START	42.920	H:/Individual recognition vids/Blind videos/PQ37.MP4	1073	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	43.600	H:/Individual recognition vids/Blind videos/PQ37.MP4	1090	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Mov	Locomotion	Towards speaker	STOP	47.240	H:/Individual recognition vids/Blind videos/PQ37.MP4	1181	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	47.680	H:/Individual recognition vids/Blind videos/PQ37.MP4	1192	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	48.520	H:/Individual recognition vids/Blind videos/PQ37.MP4	1213	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	53.720	H:/Individual recognition vids/Blind videos/PQ37.MP4	1343	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	55.840	H:/Individual recognition vids/Blind videos/PQ37.MP4	1396	NA	
PQ37	2024-04-10 23:15:22		746.600	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PQ37.MP4	747.360	25.000	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	56.560	H:/Individual recognition vids/Blind videos/PQ37.MP4	1414	NA	
