Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Mov	Locomotion	Towards speaker	START	0.760	H:/Individual recognition vids/Blind videos/TB26.MP4	19	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	3.160	H:/Individual recognition vids/Blind videos/TB26.MP4	79	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Vig	Time budget	Short Neck	START	3.160	H:/Individual recognition vids/Blind videos/TB26.MP4	79	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	7.080	H:/Individual recognition vids/Blind videos/TB26.MP4	177	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	11.400	H:/Individual recognition vids/Blind videos/TB26.MP4	285	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Mov	Locomotion	Towards speaker	STOP	15.959	H:/Individual recognition vids/Blind videos/TB26.MP4	NA	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Mov	Locomotion	Away from speaker	START	15.960	H:/Individual recognition vids/Blind videos/TB26.MP4	399	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	17.760	H:/Individual recognition vids/Blind videos/TB26.MP4	444	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	19.680	H:/Individual recognition vids/Blind videos/TB26.MP4	492	NA	
TB26	2024-06-19 15:08:47		725.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TB26.MP4	725.760	25.000	Jurek	FRP-2		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	21.520	H:/Individual recognition vids/Blind videos/TB26.MP4	538	NA	
