Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/VA51.MP4	0	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/VA51.MP4	0	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	STOP	7.039	H:/Individual recognition vids/Blind videos/VA51.MP4	NA	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	7.040	H:/Individual recognition vids/Blind videos/VA51.MP4	176	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	START	7.040	H:/Individual recognition vids/Blind videos/VA51.MP4	176	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	7.320	H:/Individual recognition vids/Blind videos/VA51.MP4	183	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	9.080	H:/Individual recognition vids/Blind videos/VA51.MP4	227	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	STOP	10.319	H:/Individual recognition vids/Blind videos/VA51.MP4	NA	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	START	10.320	H:/Individual recognition vids/Blind videos/VA51.MP4	258	NA	
VA51	2024-06-24 22:50:22		737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VA51.MP4	737.280	25.000	Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	15.920	H:/Individual recognition vids/Blind videos/VA51.MP4	398	NA	
