Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/CS40.MP4	0	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Rst	Time budget	With kin	START	0.000	G:/Individual recognition vids/Blind videos/CS40.MP4	0	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Htlt	Reaction		POINT	10.520	G:/Individual recognition vids/Blind videos/CS40.MP4	263	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	10.520	G:/Individual recognition vids/Blind videos/CS40.MP4	263	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	15.440	G:/Individual recognition vids/Blind videos/CS40.MP4	386	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Htlt	Reaction		POINT	16.120	G:/Individual recognition vids/Blind videos/CS40.MP4	403	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	95.360	G:/Individual recognition vids/Blind videos/CS40.MP4	2384	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Hab	Playback phase		START	125.720	G:/Individual recognition vids/Blind videos/CS40.MP4	3143	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Htlt	Reaction		POINT	350.400	G:/Individual recognition vids/Blind videos/CS40.MP4	8760	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	352.120	G:/Individual recognition vids/Blind videos/CS40.MP4	8803	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	367.560	G:/Individual recognition vids/Blind videos/CS40.MP4	9189	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Hab	Playback phase		STOP	368.520	G:/Individual recognition vids/Blind videos/CS40.MP4	9213	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Rst	Time budget	With kin	STOP	368.719	G:/Individual recognition vids/Blind videos/CS40.MP4	NA	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Vig	Time budget	Short Neck	START	368.720	G:/Individual recognition vids/Blind videos/CS40.MP4	9218	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	371.520	G:/Individual recognition vids/Blind videos/CS40.MP4	9288	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Vig	Time budget	Short Neck	STOP	377.120	G:/Individual recognition vids/Blind videos/CS40.MP4	9428	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Voc	Reaction	Contact	POINT	377.200	G:/Individual recognition vids/Blind videos/CS40.MP4	9430	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Pre	Time budget	With kin	START	381.760	G:/Individual recognition vids/Blind videos/CS40.MP4	9544	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	389.240	G:/Individual recognition vids/Blind videos/CS40.MP4	9731	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Pre	Time budget	With kin	STOP	390.600	G:/Individual recognition vids/Blind videos/CS40.MP4	9765	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	394.400	G:/Individual recognition vids/Blind videos/CS40.MP4	9860	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Vig	Time budget	Short Neck	START	395.520	G:/Individual recognition vids/Blind videos/CS40.MP4	9888	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Mov	Locomotion	Away from speaker	START	398.360	G:/Individual recognition vids/Blind videos/CS40.MP4	9959	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Fllw	Interaction	Kin	POINT	399.360	G:/Individual recognition vids/Blind videos/CS40.MP4	9984	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Vig	Time budget	Short Neck	STOP	406.440	G:/Individual recognition vids/Blind videos/CS40.MP4	10161	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		HSH	Reaction		POINT	416.080	G:/Individual recognition vids/Blind videos/CS40.MP4	10402	NA	
CS40	2024-01-03 19:55:18		742.080	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CS40.MP4	742.080	25.000	Bernard	FC		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	 2m		Mov	Locomotion	Away from speaker	STOP	418.999	G:/Individual recognition vids/Blind videos/CS40.MP4	NA	NA	
