Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Pre	Time budget	Alone	START	0.000	H:/Individual recognition vids/Blind videos/ZY44.MP4	0	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	1.720	H:/Individual recognition vids/Blind videos/ZY44.MP4	43	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	9.120	H:/Individual recognition vids/Blind videos/ZY44.MP4	228	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Pre	Time budget	Alone	STOP	9.599	H:/Individual recognition vids/Blind videos/ZY44.MP4	NA	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Vig	Time budget	Short Neck	START	9.600	H:/Individual recognition vids/Blind videos/ZY44.MP4	240	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	10.440	H:/Individual recognition vids/Blind videos/ZY44.MP4	261	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Vig	Time budget	Short Neck	STOP	12.439	H:/Individual recognition vids/Blind videos/ZY44.MP4	NA	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Pre	Time budget	Alone	START	12.440	H:/Individual recognition vids/Blind videos/ZY44.MP4	311	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		HSH	Reaction		POINT	16.720	H:/Individual recognition vids/Blind videos/ZY44.MP4	418	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	16.800	H:/Individual recognition vids/Blind videos/ZY44.MP4	420	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	23.560	H:/Individual recognition vids/Blind videos/ZY44.MP4	589	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	37.400	H:/Individual recognition vids/Blind videos/ZY44.MP4	935	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	38.440	H:/Individual recognition vids/Blind videos/ZY44.MP4	961	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	42.040	H:/Individual recognition vids/Blind videos/ZY44.MP4	1051	NA	
ZY44	2024-07-15 23:16:36		714.240	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZY44.MP4	714.240	25.000	Lando	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Pre	Time budget	Alone	STOP	49.399	H:/Individual recognition vids/Blind videos/ZY44.MP4	NA	NA	
