Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/CR50.MP4	0	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Rst	Time budget	With kin	START	0.760	G:/Individual recognition vids/Blind videos/CR50.MP4	19	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	1.680	G:/Individual recognition vids/Blind videos/CR50.MP4	42	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Vig	Time budget	Short Neck	START	6.919	G:/Individual recognition vids/Blind videos/CR50.MP4	NA	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	8.960	G:/Individual recognition vids/Blind videos/CR50.MP4	224	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	11.040	G:/Individual recognition vids/Blind videos/CR50.MP4	276	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	12.000	G:/Individual recognition vids/Blind videos/CR50.MP4	301	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	13.400	G:/Individual recognition vids/Blind videos/CR50.MP4	335	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	17.400	G:/Individual recognition vids/Blind videos/CR50.MP4	435	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	Away from speaker	POINT	23.120	G:/Individual recognition vids/Blind videos/CR50.MP4	578	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Vig	Time budget	Short Neck	STOP	25.959	G:/Individual recognition vids/Blind videos/CR50.MP4	NA	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Rst	Time budget	With kin	STOP	25.960	G:/Individual recognition vids/Blind videos/CR50.MP4	649	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Htlt	Reaction		POINT	47.760	G:/Individual recognition vids/Blind videos/CR50.MP4	1194	NA	
CR50	2024-01-03 18:31:56		766.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/CR50.MP4	766.560	25.000	Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m		Look	Reaction	At speaker	POINT	61.720	G:/Individual recognition vids/Blind videos/CR50.MP4	1543	NA	
