Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/ZE69.MP4	0	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Eat	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/ZE69.MP4	0	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	1.520	H:/Individual recognition vids/Blind videos/ZE69.MP4	38	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Eat	Time budget	With kin	STOP	2.319	H:/Individual recognition vids/Blind videos/ZE69.MP4	NA	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	2.320	H:/Individual recognition vids/Blind videos/ZE69.MP4	58	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Vig	Time budget	Long neck	START	2.320	H:/Individual recognition vids/Blind videos/ZE69.MP4	58	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	5.280	H:/Individual recognition vids/Blind videos/ZE69.MP4	132	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	6.040	H:/Individual recognition vids/Blind videos/ZE69.MP4	151	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	7.240	H:/Individual recognition vids/Blind videos/ZE69.MP4	181	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	8.160	H:/Individual recognition vids/Blind videos/ZE69.MP4	204	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	8.360	H:/Individual recognition vids/Blind videos/ZE69.MP4	209	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	9.400	H:/Individual recognition vids/Blind videos/ZE69.MP4	235	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	10.240	H:/Individual recognition vids/Blind videos/ZE69.MP4	256	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Mov	Locomotion	Away from speaker	START	11.160	H:/Individual recognition vids/Blind videos/ZE69.MP4	279	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Vig	Time budget	Long neck	STOP	12.399	H:/Individual recognition vids/Blind videos/ZE69.MP4	NA	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Vig	Time budget	Mid neck	START	12.400	H:/Individual recognition vids/Blind videos/ZE69.MP4	310	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	14.680	H:/Individual recognition vids/Blind videos/ZE69.MP4	367	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	16.600	H:/Individual recognition vids/Blind videos/ZE69.MP4	415	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	19.440	H:/Individual recognition vids/Blind videos/ZE69.MP4	486	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	20.280	H:/Individual recognition vids/Blind videos/ZE69.MP4	507	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	21.520	H:/Individual recognition vids/Blind videos/ZE69.MP4	538	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	22.280	H:/Individual recognition vids/Blind videos/ZE69.MP4	557	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	23.760	H:/Individual recognition vids/Blind videos/ZE69.MP4	594	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	28.040	H:/Individual recognition vids/Blind videos/ZE69.MP4	701	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Vig	Time budget	Mid neck	STOP	28.839	H:/Individual recognition vids/Blind videos/ZE69.MP4	NA	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Vig	Time budget	Long neck	START	28.840	H:/Individual recognition vids/Blind videos/ZE69.MP4	721	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	29.800	H:/Individual recognition vids/Blind videos/ZE69.MP4	745	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Mov	Locomotion	Away from speaker	STOP	31.240	H:/Individual recognition vids/Blind videos/ZE69.MP4	781	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	32.040	H:/Individual recognition vids/Blind videos/ZE69.MP4	801	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	33.400	H:/Individual recognition vids/Blind videos/ZE69.MP4	835	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	33.840	H:/Individual recognition vids/Blind videos/ZE69.MP4	846	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	34.920	H:/Individual recognition vids/Blind videos/ZE69.MP4	873	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	35.920	H:/Individual recognition vids/Blind videos/ZE69.MP4	898	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	36.240	H:/Individual recognition vids/Blind videos/ZE69.MP4	906	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Htlt	Reaction		POINT	36.480	H:/Individual recognition vids/Blind videos/ZE69.MP4	912	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	37.440	H:/Individual recognition vids/Blind videos/ZE69.MP4	936	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Mov	Locomotion	Away from speaker	START	38.960	H:/Individual recognition vids/Blind videos/ZE69.MP4	974	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Vig	Time budget	Long neck	STOP	39.479	H:/Individual recognition vids/Blind videos/ZE69.MP4	NA	NA	
ZE69	2024-07-11 23:19:28		772.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZE69.MP4	772.800	25.000	Oberlix	FRF		2022-09-11T10:00:00	Inner eriphery	Rainy	KLF	Recruitment	2m		Vig	Time budget	Mid neck	START	39.480	H:/Individual recognition vids/Blind videos/ZE69.MP4	987	NA	
