Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/ZX48.MP4	0	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	START	0.000	H:/Individual recognition vids/Blind videos/ZX48.MP4	0	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Mov	Locomotion	Away from speaker	START	0.320	H:/Individual recognition vids/Blind videos/ZX48.MP4	8	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	2.800	H:/Individual recognition vids/Blind videos/ZX48.MP4	70	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	3.960	H:/Individual recognition vids/Blind videos/ZX48.MP4	99	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	5.320	H:/Individual recognition vids/Blind videos/ZX48.MP4	133	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	5.480	H:/Individual recognition vids/Blind videos/ZX48.MP4	137	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	7.320	H:/Individual recognition vids/Blind videos/ZX48.MP4	183	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	10.000	H:/Individual recognition vids/Blind videos/ZX48.MP4	250	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	11.400	H:/Individual recognition vids/Blind videos/ZX48.MP4	285	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Mov	Locomotion	Away from speaker	STOP	11.800	H:/Individual recognition vids/Blind videos/ZX48.MP4	295	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	18.120	H:/Individual recognition vids/Blind videos/ZX48.MP4	453	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	19.080	H:/Individual recognition vids/Blind videos/ZX48.MP4	477	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	20.240	H:/Individual recognition vids/Blind videos/ZX48.MP4	506	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	20.600	H:/Individual recognition vids/Blind videos/ZX48.MP4	515	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	STOP	22.639	H:/Individual recognition vids/Blind videos/ZX48.MP4	NA	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	START	22.640	H:/Individual recognition vids/Blind videos/ZX48.MP4	566	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	26.840	H:/Individual recognition vids/Blind videos/ZX48.MP4	671	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	32.440	H:/Individual recognition vids/Blind videos/ZX48.MP4	811	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	32.920	H:/Individual recognition vids/Blind videos/ZX48.MP4	823	NA	
ZX48	2024-07-15 22:37:00		734.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZX48.MP4	734.880	25.000	Oberlix	PRF		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	44.840	H:/Individual recognition vids/Blind videos/ZX48.MP4	1121	NA	
