Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/DR34.MP4	0	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Pre	Time budget	With kin	START	1.16	H:/Individual recognition vids/Blind videos/DR34.MP4	29	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	11	H:/Individual recognition vids/Blind videos/DR34.MP4	275	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	37.12	H:/Individual recognition vids/Blind videos/DR34.MP4	928	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	39.2	H:/Individual recognition vids/Blind videos/DR34.MP4	980	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	46.12	H:/Individual recognition vids/Blind videos/DR34.MP4	1153	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Hab	Playback phase	NA	START	77.04	H:/Individual recognition vids/Blind videos/DR34.MP4	1926	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Voc	Reaction	Contact	POINT	79.16	H:/Individual recognition vids/Blind videos/DR34.MP4	1979	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Voc	Reaction	Contact	POINT	83.92	H:/Individual recognition vids/Blind videos/DR34.MP4	2098	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	86.76	H:/Individual recognition vids/Blind videos/DR34.MP4	2169	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Voc	Reaction	Contact	POINT	88.4	H:/Individual recognition vids/Blind videos/DR34.MP4	2210	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Pre	Time budget	With kin	STOP	90.399	H:/Individual recognition vids/Blind videos/DR34.MP4	NA	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Mid neck	START	90.4	H:/Individual recognition vids/Blind videos/DR34.MP4	2260	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Voc	Reaction	Other	POINT	90.68	H:/Individual recognition vids/Blind videos/DR34.MP4	2267	NA	Loud with mate
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	At speaker	POINT	90.72	H:/Individual recognition vids/Blind videos/DR34.MP4	2268	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	FVO	Reaction	Other	POINT	92.2	H:/Individual recognition vids/Blind videos/DR34.MP4	2305	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	92.72	H:/Individual recognition vids/Blind videos/DR34.MP4	2318	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Mid neck	STOP	95.759	H:/Individual recognition vids/Blind videos/DR34.MP4	NA	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Pre	Time budget	With kin	START	95.76	H:/Individual recognition vids/Blind videos/DR34.MP4	2394	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	100.4	H:/Individual recognition vids/Blind videos/DR34.MP4	2510	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Pre	Time budget	With kin	STOP	100.879	H:/Individual recognition vids/Blind videos/DR34.MP4	NA	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Mid neck	START	100.88	H:/Individual recognition vids/Blind videos/DR34.MP4	2522	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	At speaker	POINT	102.76	H:/Individual recognition vids/Blind videos/DR34.MP4	2569	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Htlt	Reaction	NA	POINT	104.44	H:/Individual recognition vids/Blind videos/DR34.MP4	2611	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	105.24	H:/Individual recognition vids/Blind videos/DR34.MP4	2631	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Vig	Time budget	Mid neck	STOP	109.36	H:/Individual recognition vids/Blind videos/DR34.MP4	2734	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Pre	Time budget	With kin	START	110.6	H:/Individual recognition vids/Blind videos/DR34.MP4	2765	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Pre	Time budget	With kin	STOP	137.599	H:/Individual recognition vids/Blind videos/DR34.MP4	NA	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Rst	Time budget	With kin	START	137.6	H:/Individual recognition vids/Blind videos/DR34.MP4	3440	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Htlt	Reaction	NA	POINT	169.68	H:/Individual recognition vids/Blind videos/DR34.MP4	4242	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	170.2	H:/Individual recognition vids/Blind videos/DR34.MP4	4255	NA	NA
Batate_FC_03112022_0903	2024-01-15T15:19:10Z	NA	772.8	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DR34.MP4	772.8	25	Batate	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Htlt	Reaction	NA	POINT	193	H:/Individual recognition vids/Blind videos/DR34.MP4	4825	NA	NA
