Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/BG29.MP4	0	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Rst	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/BG29.MP4	0	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	100.72	H:/Individual recognition vids/Blind videos/BG29.MP4	2518	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Hab	Playback phase	NA	START	102.28	H:/Individual recognition vids/Blind videos/BG29.MP4	2557	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	221.52	H:/Individual recognition vids/Blind videos/BG29.MP4	5538	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	331.88	H:/Individual recognition vids/Blind videos/BG29.MP4	8297	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Hab	Playback phase	NA	STOP	345	H:/Individual recognition vids/Blind videos/BG29.MP4	8625	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	350.12	H:/Individual recognition vids/Blind videos/BG29.MP4	8753	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Rst	Time budget	With kin	STOP	351.039	H:/Individual recognition vids/Blind videos/BG29.MP4	NA	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Vig	Time budget	Short Neck	START	351.04	H:/Individual recognition vids/Blind videos/BG29.MP4	8776	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	353.8	H:/Individual recognition vids/Blind videos/BG29.MP4	8845	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Vig	Time budget	Short Neck	STOP	355.599	H:/Individual recognition vids/Blind videos/BG29.MP4	NA	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Rst	Time budget	With kin	START	355.6	H:/Individual recognition vids/Blind videos/BG29.MP4	8890	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	360.64	H:/Individual recognition vids/Blind videos/BG29.MP4	9016	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	367.4	H:/Individual recognition vids/Blind videos/BG29.MP4	9185	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Htlt	Reaction	NA	POINT	368.16	H:/Individual recognition vids/Blind videos/BG29.MP4	9204	NA	NA
Batate_FRF_25102022_1021	2023-12-28T23:22:01Z	NA	728.16	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BG29.MP4	728.16	25	Batate	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	371.64	H:/Individual recognition vids/Blind videos/BG29.MP4	9291	NA	NA
