Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/RD59.MP4	0	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/RD59.MP4	0	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	2.92	H:/Individual recognition vids/Blind videos/RD59.MP4	73	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	4.04	H:/Individual recognition vids/Blind videos/RD59.MP4	101	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	5.519	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	5.52	H:/Individual recognition vids/Blind videos/RD59.MP4	138	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	5.56	H:/Individual recognition vids/Blind videos/RD59.MP4	139	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	7.28	H:/Individual recognition vids/Blind videos/RD59.MP4	182	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	STOP	8.079	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	8.08	H:/Individual recognition vids/Blind videos/RD59.MP4	202	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	9.32	H:/Individual recognition vids/Blind videos/RD59.MP4	233	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	11.44	H:/Individual recognition vids/Blind videos/RD59.MP4	286	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	14.8	H:/Individual recognition vids/Blind videos/RD59.MP4	370	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	16.88	H:/Individual recognition vids/Blind videos/RD59.MP4	422	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	21.16	H:/Individual recognition vids/Blind videos/RD59.MP4	529	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	29.2	H:/Individual recognition vids/Blind videos/RD59.MP4	730	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	36.24	H:/Individual recognition vids/Blind videos/RD59.MP4	906	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	40.48	H:/Individual recognition vids/Blind videos/RD59.MP4	1012	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	42.16	H:/Individual recognition vids/Blind videos/RD59.MP4	1054	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	42.6	H:/Individual recognition vids/Blind videos/RD59.MP4	1065	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	43.079	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	43.08	H:/Individual recognition vids/Blind videos/RD59.MP4	1077	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	43.08	H:/Individual recognition vids/Blind videos/RD59.MP4	1077	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	46.08	H:/Individual recognition vids/Blind videos/RD59.MP4	1152	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	HSH	Reaction	NA	POINT	47.24	H:/Individual recognition vids/Blind videos/RD59.MP4	1181	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	47.8	H:/Individual recognition vids/Blind videos/RD59.MP4	1195	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	49.36	H:/Individual recognition vids/Blind videos/RD59.MP4	1234	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	STOP	50.079	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	50.08	H:/Individual recognition vids/Blind videos/RD59.MP4	1252	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	50.32	H:/Individual recognition vids/Blind videos/RD59.MP4	1258	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	53.76	H:/Individual recognition vids/Blind videos/RD59.MP4	1344	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	56.92	H:/Individual recognition vids/Blind videos/RD59.MP4	1423	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	57.119	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	57.12	H:/Individual recognition vids/Blind videos/RD59.MP4	1428	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	58.44	H:/Individual recognition vids/Blind videos/RD59.MP4	1461	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	58.6	H:/Individual recognition vids/Blind videos/RD59.MP4	1465	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	60.4	H:/Individual recognition vids/Blind videos/RD59.MP4	1510	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	STOP	61.919	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	61.92	H:/Individual recognition vids/Blind videos/RD59.MP4	1548	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	65.12	H:/Individual recognition vids/Blind videos/RD59.MP4	1628	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	80	H:/Individual recognition vids/Blind videos/RD59.MP4	2000	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	82.2	H:/Individual recognition vids/Blind videos/RD59.MP4	2055	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	92.92	H:/Individual recognition vids/Blind videos/RD59.MP4	2323	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Hab	Playback phase	NA	START	110.6	H:/Individual recognition vids/Blind videos/RD59.MP4	2765	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	110.679	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	110.68	H:/Individual recognition vids/Blind videos/RD59.MP4	2767	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	110.84	H:/Individual recognition vids/Blind videos/RD59.MP4	2771	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	112.68	H:/Individual recognition vids/Blind videos/RD59.MP4	2817	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	113.8	H:/Individual recognition vids/Blind videos/RD59.MP4	2845	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	117.08	H:/Individual recognition vids/Blind videos/RD59.MP4	2927	NA	NA
Besenstiel_FC_18102022_0932	2024-04-15T01:04:42Z	NA	732.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.48	25	Besenstiel	FC	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	117.88	H:/Individual recognition vids/Blind videos/RD59.MP4	2947	NA	NA
