Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Pre	Time budget	Alone	START	0	H:/Individual recognition vids/Blind videos/IF18.MP4	NA	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	FVO	Reaction	Distance	POINT	8.48	H:/Individual recognition vids/Blind videos/IF18.MP4	212	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	15.48	H:/Individual recognition vids/Blind videos/IF18.MP4	387	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	At speaker	POINT	23.52	H:/Individual recognition vids/Blind videos/IF18.MP4	588	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	25.52	H:/Individual recognition vids/Blind videos/IF18.MP4	638	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	25.96	H:/Individual recognition vids/Blind videos/IF18.MP4	649	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	FVO	Reaction	Distance	POINT	49.28	H:/Individual recognition vids/Blind videos/IF18.MP4	1232	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	58.84	H:/Individual recognition vids/Blind videos/IF18.MP4	1471	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	FVO	Reaction	Distance	POINT	60.08	H:/Individual recognition vids/Blind videos/IF18.MP4	1502	NA	NA
Besenstiel_FRP_27102022_1021	2024-02-25T20:11:18Z	Edit out the first hab attempt because it was interrupted	887.04	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IF18.MP4	887.04	25	Besenstiel	FRP	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	1m	NA	Look	Reaction	Away from speaker	POINT	61.44	H:/Individual recognition vids/Blind videos/IF18.MP4	1536	NA	NA
