Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/EM45.MP4	0	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Eat	Time budget	With kin	START	0	G:/Individual recognition vids/Blind videos/EM45.MP4	0	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	13.16	G:/Individual recognition vids/Blind videos/EM45.MP4	329	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	25.56	G:/Individual recognition vids/Blind videos/EM45.MP4	639	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Eat	Time budget	With kin	STOP	26.679	G:/Individual recognition vids/Blind videos/EM45.MP4	NA	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Mov	Locomotion	Away from speaker	START	26.68	G:/Individual recognition vids/Blind videos/EM45.MP4	667	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Fllw	Interaction	Kin	POINT	30.08	G:/Individual recognition vids/Blind videos/EM45.MP4	752	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Vig	Time budget	Mid neck	START	34.24	G:/Individual recognition vids/Blind videos/EM45.MP4	856	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	36.28	G:/Individual recognition vids/Blind videos/EM45.MP4	907	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	37.6	G:/Individual recognition vids/Blind videos/EM45.MP4	940	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Vig	Time budget	Mid neck	STOP	42.36	G:/Individual recognition vids/Blind videos/EM45.MP4	1059	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Fllw	Interaction	Kin	POINT	46.6	G:/Individual recognition vids/Blind videos/EM45.MP4	1165	NA	NA
JB_PRF_13112022_1044	2024-01-22T21:49:57Z	NA	736.8	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/EM45.MP4	736.8	25	JB	FRP	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	49.6	G:/Individual recognition vids/Blind videos/EM45.MP4	1240	NA	NA
