Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	Alone	START	0	G:/Individual recognition vids/Blind videos/KX41.MP4	NA	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	Alone	STOP	7.199	G:/Individual recognition vids/Blind videos/KX41.MP4	NA	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	START	7.2	G:/Individual recognition vids/Blind videos/KX41.MP4	180	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	7.6	G:/Individual recognition vids/Blind videos/KX41.MP4	190	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	STOP	8.999	G:/Individual recognition vids/Blind videos/KX41.MP4	NA	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	Alone	START	9	G:/Individual recognition vids/Blind videos/KX41.MP4	225	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	23.6	G:/Individual recognition vids/Blind videos/KX41.MP4	590	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	Alone	STOP	24.279	G:/Individual recognition vids/Blind videos/KX41.MP4	NA	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	START	24.28	G:/Individual recognition vids/Blind videos/KX41.MP4	607	NA	NA
Janosch_FRF_23112022_0948	2024-03-10T19:20:21Z	NA	707.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KX41.MP4	707.04	25	Janosch	FRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	STOP	27.999	G:/Individual recognition vids/Blind videos/KX41.MP4	NA	NA	NA
