Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	11.76	G:/Individual recognition vids/Blind videos/JX49.MP4	294	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	START	11.76	G:/Individual recognition vids/Blind videos/JX49.MP4	294	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	STOP	13.839	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	Alone	START	13.84	G:/Individual recognition vids/Blind videos/JX49.MP4	346	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	19.92	G:/Individual recognition vids/Blind videos/JX49.MP4	498	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	Alone	STOP	20.279	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	START	20.28	G:/Individual recognition vids/Blind videos/JX49.MP4	507	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	STOP	22.079	G:/Individual recognition vids/Blind videos/JX49.MP4	NA	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	Alone	START	22.08	G:/Individual recognition vids/Blind videos/JX49.MP4	552	NA	NA
Lausbursch_PRF_12112022_0957	2024-03-06T22:19:33Z	NA	678.48	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JX49.MP4	690.24	25	Lausbursch	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	29.2	G:/Individual recognition vids/Blind videos/JX49.MP4	730	NA	NA
