Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/KG89.MP4	0	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	0	G:/Individual recognition vids/Blind videos/KG89.MP4	0	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	2.2	G:/Individual recognition vids/Blind videos/KG89.MP4	55	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	5.88	G:/Individual recognition vids/Blind videos/KG89.MP4	147	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	13.2	G:/Individual recognition vids/Blind videos/KG89.MP4	330	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	14.239	G:/Individual recognition vids/Blind videos/KG89.MP4	NA	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	14.24	G:/Individual recognition vids/Blind videos/KG89.MP4	356	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	15.56	G:/Individual recognition vids/Blind videos/KG89.MP4	389	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	16.72	G:/Individual recognition vids/Blind videos/KG89.MP4	418	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	17.6	G:/Individual recognition vids/Blind videos/KG89.MP4	440	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	STOP	19.119	G:/Individual recognition vids/Blind videos/KG89.MP4	NA	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	19.12	G:/Individual recognition vids/Blind videos/KG89.MP4	478	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	35.2	G:/Individual recognition vids/Blind videos/KG89.MP4	880	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	36.56	G:/Individual recognition vids/Blind videos/KG89.MP4	914	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	71	G:/Individual recognition vids/Blind videos/KG89.MP4	1775	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	74.12	G:/Individual recognition vids/Blind videos/KG89.MP4	1853	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Pre	Time budget	With kin	STOP	74.799	G:/Individual recognition vids/Blind videos/KG89.MP4	NA	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	74.8	G:/Individual recognition vids/Blind videos/KG89.MP4	1870	NA	NA
Oberlix_FC_18102022_0956	2024-03-08T22:09:14Z	NA	754.56	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KG89.MP4	754.56	25	Oberlix	FC	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Departure	2m	NA	Voc	Reaction	Contact	POINT	75.6	G:/Individual recognition vids/Blind videos/KG89.MP4	1890	NA	NA
