Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/ZM17.MP4	0	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/ZM17.MP4	0	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	1.44	H:/Individual recognition vids/Blind videos/ZM17.MP4	36	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	1.52	H:/Individual recognition vids/Blind videos/ZM17.MP4	38	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	16.48	H:/Individual recognition vids/Blind videos/ZM17.MP4	412	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	34.36	H:/Individual recognition vids/Blind videos/ZM17.MP4	859	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	66.32	H:/Individual recognition vids/Blind videos/ZM17.MP4	1658	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	HSH	Reaction	NA	POINT	67.28	H:/Individual recognition vids/Blind videos/ZM17.MP4	1682	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	67.76	H:/Individual recognition vids/Blind videos/ZM17.MP4	1694	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	72.64	H:/Individual recognition vids/Blind videos/ZM17.MP4	1816	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	HSH	Reaction	NA	POINT	74.2	H:/Individual recognition vids/Blind videos/ZM17.MP4	1855	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	79.92	H:/Individual recognition vids/Blind videos/ZM17.MP4	1998	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	91.68	H:/Individual recognition vids/Blind videos/ZM17.MP4	2292	NA	NA
Oberlix_FRF_31102022_0813	2024-07-13T00:49:32Z	NA	723.36	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZM17.MP4	723.36	25	Oberlix	FRF	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	98.16	H:/Individual recognition vids/Blind videos/ZM17.MP4	2454	NA	NA
