Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/KK12.MP4	0	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	0	G:/Individual recognition vids/Blind videos/KK12.MP4	0	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	1	G:/Individual recognition vids/Blind videos/KK12.MP4	25	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	2.08	G:/Individual recognition vids/Blind videos/KK12.MP4	52	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	3.48	G:/Individual recognition vids/Blind videos/KK12.MP4	87	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	Rst	Time budget	With kin	START	8.8	G:/Individual recognition vids/Blind videos/KK12.MP4	220	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Distance	POINT	11.56	G:/Individual recognition vids/Blind videos/KK12.MP4	289	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	18.44	G:/Individual recognition vids/Blind videos/KK12.MP4	461	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Other	POINT	18.64	G:/Individual recognition vids/Blind videos/KK12.MP4	466	NA	NA
Romy_PRF_13112022_0938	2024-03-10T15:46:43Z	NA	1007.04	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/KK12.MP4	1007.04	25	Romy	PRF	NA	2022-09-11T10:00:00Z	Inner eriphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	20.92	G:/Individual recognition vids/Blind videos/KK12.MP4	523	NA	NA
