Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Ass	Kin	1	206.520	206.520	NA	NA	NA	28.400
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Mov	Away from speaker	5	276.717	55.343	72.669	27.780	14.216	38.100
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Mov	Towards speaker	1	33.919	33.919	NA	NA	NA	4.700
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Dhb		1	243.360	243.360	NA	NA	NA	33.500
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Hab		1	269.080	269.080	NA	NA	NA	37.100
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Look	Away from speaker	29	NA	NA	NA	24.281	33.077	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Look	At speaker	45	NA	NA	NA	15.482	21.710	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Voc	Contact	19	NA	NA	NA	23.256	36.940	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Voc	Other	1	NA	NA	NA	NA	NA	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	HSH		9	NA	NA	NA	42.785	80.804	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Eat	Alone	1	139.760	139.760	NA	NA	NA	19.200
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Pre	With kin	6	165.474	27.579	26.754	4.561	3.881	22.800
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Pre	Alone	3	44.317	14.772	9.504	18.321	0.735	6.100
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Rst		0	0.000	NA	NA	NA	NA	0.000
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Vig	Mid neck	8	103.033	12.879	15.352	52.452	60.238	14.200
AF95	2023-12-17 20:41:11		Jafar	FRF		2022-09-11T10:00:00	 Outer periphery	Overcast	KLF	Departure	1m	Full observation	Full observation	Full observation	No focal subject	Vig	Long neck	3	87.559	29.186	25.474	126.240	8.882	12.100
