Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/RD59.MP4	0	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/RD59.MP4	0	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	2.920	H:/Individual recognition vids/Blind videos/RD59.MP4	73	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	4.040	H:/Individual recognition vids/Blind videos/RD59.MP4	101	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	STOP	5.519	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Vig	Time budget	Short Neck	START	5.520	H:/Individual recognition vids/Blind videos/RD59.MP4	138	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	5.560	H:/Individual recognition vids/Blind videos/RD59.MP4	139	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	7.280	H:/Individual recognition vids/Blind videos/RD59.MP4	182	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Vig	Time budget	Short Neck	STOP	8.079	H:/Individual recognition vids/Blind videos/RD59.MP4	NA	NA	
RD59	2024-04-15 01:04:42		732.480	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RD59.MP4	732.480	25.000	Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	START	8.080	H:/Individual recognition vids/Blind videos/RD59.MP4	202	NA	
