Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Ass	Interaction	Kin	START	0.000	G:/Individual recognition vids/Blind videos/AU60.MP4	0	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Rst	Time budget	With kin	START	0.000	G:/Individual recognition vids/Blind videos/AU60.MP4	NA	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	3.640	G:/Individual recognition vids/Blind videos/AU60.MP4	91	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Rst	Time budget	With kin	STOP	38.639	G:/Individual recognition vids/Blind videos/AU60.MP4	NA	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	38.640	G:/Individual recognition vids/Blind videos/AU60.MP4	966	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Vig	Time budget	Short Neck	START	38.640	G:/Individual recognition vids/Blind videos/AU60.MP4	966	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	44.960	G:/Individual recognition vids/Blind videos/AU60.MP4	1124	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	49.480	G:/Individual recognition vids/Blind videos/AU60.MP4	1237	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	51.760	G:/Individual recognition vids/Blind videos/AU60.MP4	1294	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	56.880	G:/Individual recognition vids/Blind videos/AU60.MP4	1422	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	65.120	G:/Individual recognition vids/Blind videos/AU60.MP4	1628	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	66.000	G:/Individual recognition vids/Blind videos/AU60.MP4	1650	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	77.160	G:/Individual recognition vids/Blind videos/AU60.MP4	1929	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	81.080	G:/Individual recognition vids/Blind videos/AU60.MP4	2027	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Hab	Playback phase		START	82.800	G:/Individual recognition vids/Blind videos/AU60.MP4	2070	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	83.520	G:/Individual recognition vids/Blind videos/AU60.MP4	2088	NA	
AU60	2023-12-20 22:08:38	check whether this was Triple	730.560	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/AU60.MP4	730.560	25.000	Diamante	FRF		2022-09-11T10:00:00	 Outer periphery	 Rainy	KLF	 recruitment	 2m		Vig	Time budget	Short Neck	STOP	92.800	G:/Individual recognition vids/Blind videos/AU60.MP4	2320	NA	
