Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Vig	Time budget	Mid neck	START	0.000	G:/Individual recognition vids/Blind videos/DR62.MP4	0	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	1.840	G:/Individual recognition vids/Blind videos/DR62.MP4	46	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	5.040	G:/Individual recognition vids/Blind videos/DR62.MP4	126	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	7.760	G:/Individual recognition vids/Blind videos/DR62.MP4	194	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	9.200	G:/Individual recognition vids/Blind videos/DR62.MP4	230	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	12.840	G:/Individual recognition vids/Blind videos/DR62.MP4	321	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	14.760	G:/Individual recognition vids/Blind videos/DR62.MP4	369	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	23.320	G:/Individual recognition vids/Blind videos/DR62.MP4	583	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	29.760	G:/Individual recognition vids/Blind videos/DR62.MP4	744	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	At speaker	POINT	32.000	G:/Individual recognition vids/Blind videos/DR62.MP4	800	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	34.280	G:/Individual recognition vids/Blind videos/DR62.MP4	857	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	41.080	G:/Individual recognition vids/Blind videos/DR62.MP4	1027	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	44.960	G:/Individual recognition vids/Blind videos/DR62.MP4	1124	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	46.920	G:/Individual recognition vids/Blind videos/DR62.MP4	1173	NA	
DR62	2024-01-15 19:34:32		733.440	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/DR62.MP4	733.440	25.000	Lukka	FRP		2022-09-11T10:00:00	 Outer periphery	 Sunny	KLF	 recruitment	 2m		Look	Reaction	Away from speaker	POINT	47.760	G:/Individual recognition vids/Blind videos/DR62.MP4	1194	NA	
