Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Ass	Kin	1	688.8	688.8	NA	NA	NA	100.0
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Dhb		1	245.76	245.76	NA	NA	NA	35.7
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Hab		1	245.56	245.56	NA	NA	NA	35.7
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Look	At speaker	4	NA	NA	NA	0.0	0.0	NA
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	Voc	Contact	3	NA	NA	NA	0.0	0.0	NA
WV75	2024-07-0403:42:05		Longshanks	FRP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	688.800	688.800	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
