Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Ass	Kin	1	686.88	686.88	NA	NA	NA	100.0
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Dhb		1	244.8	244.8	NA	NA	NA	35.6
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Hab		1	254.2	254.2	NA	NA	NA	37.0
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Look	At speaker	3	NA	NA	NA	0.0	0.0	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Htlt		2	NA	NA	NA	0.0	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	FVO	Distance	14	NA	NA	NA	0.0	0.0	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	FVO	Other	1	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Pre		0	NA	NA	NA	NA	NA	NA
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Rst	With kin	1	686.88	686.88	NA	NA	NA	100.0
YS80	2024-07-1122:35:58	Repated/use the other one	Lupin	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m	0.000	686.880	686.880	No focal subject	Vig		0	NA	NA	NA	NA	NA	NA
