Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Ass	Kin	1	690.56	690.56	NA	NA	NA	100.0
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Dhb		1	244.6	244.6	NA	NA	NA	35.4
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Hab		1	252.88	252.88	NA	NA	NA	36.6
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Look	At speaker	9	NA	NA	NA	0.0	0.0	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Look	Away from speaker	11	NA	NA	NA	0.0	0.0	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Voc	Distance	2	NA	NA	NA	0.0	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Voc	Contact	11	NA	NA	NA	0.0	0.0	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Voc	Other	2	NA	NA	NA	0.0	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Htlt		7	NA	NA	NA	0.0	0.0	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Pre	With kin	1	7.72	7.72	NA	NA	NA	1.1
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Rst	With kin	3	612.598	204.199	124.95	NA	NA	88.7
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Vig	Long neck	2	34.679	17.339	1.442	NA	NA	5.0
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Vig	Short Neck	2	18.0	9.0	2.489	NA	NA	2.6
BB95	2023-12-2223:40:29		Eastwood	FRF		2022-09-11T10:00:00	Centre	 Rainy	KLF	 recruitment	1m	0.000	690.560	690.560	No focal subject	Vig	Mid neck	1	7.12	7.12	NA	NA	NA	1.0
