Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Ass		0	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Dhb		1	243.08	243.08	NA	NA	NA	35.2
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Hab		1	242.76	242.76	NA	NA	NA	35.1
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Look	At speaker	22	NA	NA	NA	0.0	0.0	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Look	Away from speaker	5	NA	NA	NA	0.0	0.0	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Htlt		4	NA	NA	NA	0.0	0.0	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Pre	Alone	2	183.478	91.739	72.097	NA	NA	26.5
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Rst	Alone	2	461.439	230.719	150.754	NA	NA	66.8
CV53	2024-01-0322:27:55		Bernard	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	0.560	691.680	691.120	No focal subject	Vig	Short Neck	1	25.119	25.119	NA	NA	NA	3.6
