Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Ass	Kin	1	1040.64	1040.64	NA	NA	NA	100.0
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Fllw	Kin	1	NA	NA	NA	NA	NA	NA
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Agn	Towards other	3	NA	NA	NA	0.0	0.0	NA
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Mov	Towards speaker	2	12.319	6.159	4.072	NA	NA	1.2
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Mov	Away from speaker	1	27.719	27.719	NA	NA	NA	2.7
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Dhb		1	250.04	250.04	NA	NA	NA	24.0
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Hab		2	490.04	245.02	1.499	NA	NA	47.1
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Look	Away from speaker	55	NA	NA	NA	0.0	0.0	NA
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Look	At speaker	25	NA	NA	NA	0.0	0.0	NA
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Voc	Contact	20	NA	NA	NA	0.0	0.0	NA
CY11	2024-01-0423:16:25	Triple/Edit	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	1040.640	1040.640	No focal subject	Voc	Other	2	NA	NA	NA	0.0	NA	NA
