Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Ass	Kin	1	772.8	772.8	NA	NA	NA	100.0
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Dhb		1	317.68	317.68	NA	NA	NA	41.1
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Hab		1	256.04	256.04	NA	NA	NA	33.1
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Look	Away from speaker	17	NA	NA	NA	0.0	0.0	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Look	At speaker	12	NA	NA	NA	0.0	0.0	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Voc	Contact	3	NA	NA	NA	0.0	0.0	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Voc	Other	1	NA	NA	NA	NA	NA	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Htlt		5	NA	NA	NA	0.0	0.0	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	FVO	Other	1	NA	NA	NA	NA	NA	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Pre	With kin	5	185.197	37.039	34.601	NA	NA	24.0
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Rst	With kin	3	542.517	180.839	169.593	NA	NA	70.2
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Vig	Mid neck	4	27.317	6.829	4.294	NA	NA	3.5
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Vig	Long neck	1	11.559	11.559	NA	NA	NA	1.5
DR34	2024-01-1515:19:10		Batate	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	772.800	772.800	No focal subject	Vig	Short Neck	2	3.518	1.759	0.792	NA	NA	0.5
