Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Ass	Kin	2	978.0	489.0	111.723	NA	NA	96.1
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Fllw	Kin	3	NA	NA	NA	0.0	0.0	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Agn	Towards other	8	NA	NA	NA	0.0	0.0	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Mov	Away from speaker	3	62.238	20.746	11.924	NA	NA	6.1
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Dhb		1	244.0	244.0	NA	NA	NA	24.0
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Hab		2	492.8	246.4	0.735	NA	NA	48.4
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Look	At speaker	58	NA	NA	NA	0.0	0.0	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Look	Away from speaker	103	NA	NA	NA	0.0	0.0	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Voc	Contact	54	NA	NA	NA	0.0	0.0	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	HSH		17	NA	NA	NA	0.0	0.0	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Htlt		2	NA	NA	NA	0.0	NA	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	FVO	Distance	39	NA	NA	NA	0.0	0.0	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	FVO	Other	1	NA	NA	NA	NA	NA	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Eat	With kin	15	340.506	22.7	26.544	NA	NA	33.5
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Eat	Alone	1	17.119	17.119	NA	NA	NA	1.7
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Pre	With kin	21	375.54	17.883	16.782	NA	NA	36.9
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Pre	Alone	1	7.879	7.879	NA	NA	NA	0.8
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Vig	Short Neck	3	10.077	3.359	1.253	NA	NA	1.0
JH77	2024-02-2822:37:05	Triple/ hdh/Edit	Leia	FC		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	1m	0.000	1017.600	1017.600	No focal subject	Vig	Mid neck	28	187.852	6.709	7.389	NA	NA	18.5
