Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Ass	Kin	1	720.0	720.0	NA	NA	NA	100.0
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Dhb		1	245.12	245.12	NA	NA	NA	34.0
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Hab		1	249.88	249.88	NA	NA	NA	34.7
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Look	Away from speaker	36	NA	NA	NA	0.0	0.0	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Look	At speaker	75	NA	NA	NA	0.0	0.0	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Htlt		26	NA	NA	NA	0.0	0.0	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	FVO	Other	8	NA	NA	NA	0.0	0.0	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	FVO	Distance	22	NA	NA	NA	0.0	0.0	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Pre	With kin	15	245.265	16.351	15.498	NA	NA	34.1
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Rst	With kin	1	326.64	326.64	NA	NA	NA	45.4
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Vig	Mid neck	14	130.027	9.288	5.589	NA	NA	18.1
JT62	2024-03-0520:40:48		Leia	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	720.000	720.000	No focal subject	Vig	Short Neck	2	8.439	4.22	2.009	NA	NA	1.2
