Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Ass	Kin	1	754.56	754.56	NA	NA	NA	100.0
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Fllw	Kin	1	NA	NA	NA	NA	NA	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Mov	Away from speaker	6	108.44	18.073	11.353	NA	NA	14.4
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Dhb		1	254.8	254.8	NA	NA	NA	33.8
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Hab		1	242.6	242.6	NA	NA	NA	32.2
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Look	Away from speaker	72	NA	NA	NA	0.0	0.0	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Look	At speaker	31	NA	NA	NA	0.0	0.0	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Voc	Contact	5	NA	NA	NA	0.0	0.0	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	HSH		2	NA	NA	NA	0.0	NA	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Htlt		3	NA	NA	NA	0.0	0.0	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	FVO	Distance	34	NA	NA	NA	0.0	0.0	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Eat	With kin	1	6.399	6.399	NA	NA	NA	0.8
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Pre	With kin	8	543.072	67.884	53.744	NA	NA	72.0
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Vig	Mid neck	13	139.069	10.698	14.513	NA	NA	18.4
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Vig	Long neck	5	21.196	4.239	2.978	NA	NA	2.8
KG89	2024-03-0822:09:14		Oberlix	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Departure	2m	0.000	754.560	754.560	No focal subject	Vig	Short Neck	2	32.398	16.199	8.259	NA	NA	4.3
