Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Ass	Kin	1	684.0	684.0	NA	NA	NA	90.4
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Agn	Towards other	3	NA	NA	NA	0.0	0.0	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Mov	Towards speaker	1	3.559	3.559	NA	NA	NA	0.5
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Mov	Away from speaker	1	19.32	19.32	NA	NA	NA	2.6
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Dhb		1	244.64	244.64	NA	NA	NA	32.3
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Hab		1	248.64	248.64	NA	NA	NA	32.9
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Look	At speaker	18	NA	NA	NA	0.0	0.0	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Look	Away from speaker	17	NA	NA	NA	0.0	0.0	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Voc	Contact	6	NA	NA	NA	0.0	0.0	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Htlt		9	NA	NA	NA	0.0	0.0	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	FVO	Other	13	NA	NA	NA	0.0	0.0	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	FVO	Distance	12	NA	NA	NA	0.0	0.0	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Pre	With kin	1	2.319	2.319	NA	NA	NA	0.3
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Rst	With kin	3	637.238	212.413	187.656	NA	NA	84.2
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Vig	Mid neck	1	78.439	78.439	NA	NA	NA	10.4
LN50	2024-03-1202:43:15		Longshanks	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	756.480	756.480	No focal subject	Vig	Short Neck	1	38.479	38.479	NA	NA	NA	5.1
