Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Ass	Kin	1	806.88	806.88	NA	NA	NA	100.0
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Fllw	Kin	3	NA	NA	NA	0.0	0.0	NA
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Mov	Away from speaker	4	73.0	18.25	18.885	NA	NA	9.0
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Dep	With kin	1	NA	NA	NA	NA	NA	NA
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Dhb		1	246.28	246.28	NA	NA	NA	30.5
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Hab		1	245.8	245.8	NA	NA	NA	30.5
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Look	At speaker	73	NA	NA	NA	0.0	0.0	NA
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Look	Away from speaker	55	NA	NA	NA	0.0	0.0	NA
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Voc	Contact	5	NA	NA	NA	0.0	0.0	NA
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Voc	Distance	1	NA	NA	NA	NA	NA	NA
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Voc	Recruitment	24	NA	NA	NA	0.0	0.0	NA
MF42	2024-03-1317:10:29	Triple/edit	Lukka	FRF		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	806.880	806.880	No focal subject	Voc	Departure	3	NA	NA	NA	0.0	0.0	NA
