Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Ass	Kin	2	1063.68	531.84	733.015	NA	NA	91.9
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Fllw	Kin	2	NA	NA	NA	0.0	NA	NA
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Mov	Away from speaker	8	147.316	18.415	8.979	NA	NA	12.7
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Dhb		1	269.96	269.96	NA	NA	NA	23.3
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Hab		2	523.48	261.74	17.169	NA	NA	45.2
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Look	At speaker	119	NA	NA	NA	0.0	0.0	NA
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Look	Away from speaker	157	NA	NA	NA	0.0	0.0	NA
MH75	2024-03-1322:40:20	Triple/edit the 1st phase	Oberlix	PRFP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	1157.280	1157.280	No focal subject	Voc	Contact	24	NA	NA	NA	0.0	0.0	NA
