Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Ass	Kin	1	726.24	726.24	NA	NA	NA	100.0
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Dhb		1	244.36	244.36	NA	NA	NA	33.6
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Hab		1	243.88	243.88	NA	NA	NA	33.6
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Look	Away from speaker	1	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	FVO	Distance	10	NA	NA	NA	0.0	0.0	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	FVO	Recruitment	25	NA	NA	NA	0.0	0.0	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	FVO	Other	1	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Pre		0	NA	NA	NA	NA	NA	NA
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Rst	With kin	1	726.24	726.24	NA	NA	NA	100.0
NH76	2024-03-1721:37:38		Natalie	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	726.240	726.240	No focal subject	Vig		0	NA	NA	NA	NA	NA	NA
