Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Ass	Kin	1	784.8	784.8	NA	NA	NA	100.0
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Fllw	Kin	1	NA	NA	NA	NA	NA	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Agn	Towards other	13	NA	NA	NA	0.0	0.0	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Mov	Towards speaker	2	21.638	10.819	1.103	NA	NA	2.8
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Mov	Away from speaker	2	36.479	18.239	2.433	NA	NA	4.6
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Dhb		1	242.72	242.72	NA	NA	NA	30.9
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Hab		1	258.64	258.64	NA	NA	NA	33.0
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Look	At speaker	37	NA	NA	NA	0.0	0.0	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Look	Away from speaker	34	NA	NA	NA	0.0	0.0	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Voc	Recruitment	15	NA	NA	NA	0.0	0.0	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Voc	Contact	11	NA	NA	NA	0.0	0.0	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	HSH		1	NA	NA	NA	NA	NA	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	FVO	Other	14	NA	NA	NA	0.0	0.0	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	FVO	Distance	9	NA	NA	NA	0.0	0.0	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Eat	With kin	6	667.235	111.206	104.32	NA	NA	85.0
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Pre		0	NA	NA	NA	NA	NA	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Vig	Long neck	2	98.598	49.299	66.327	NA	NA	12.6
PE20	2024-04-0917:40:59		Luna	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	784.800	784.800	No focal subject	Vig	Mid neck	4	18.956	4.739	1.873	NA	NA	2.4
