Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Ass	Kin	2	650.48	325.24	187.298	NA	NA	64.2
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Mov	Away from speaker	5	114.199	22.84	20.593	NA	NA	11.3
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Dhb		1	247.12	247.12	NA	NA	NA	24.4
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Hab		2	494.52	247.26	5.289	NA	NA	48.8
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Look	Away from speaker	128	NA	NA	NA	0.0	0.0	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Look	At speaker	39	NA	NA	NA	0.0	0.0	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Voc	Contact	25	NA	NA	NA	0.0	0.0	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Htlt		16	NA	NA	NA	0.0	0.0	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	FVO	Distance	22	NA	NA	NA	0.0	0.0	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	FVO	Other	16	NA	NA	NA	0.0	0.0	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Pre	With kin	2	20.879	10.439	7.751	NA	NA	2.1
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Rst	With kin	4	107.556	26.889	12.977	NA	NA	10.6
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Rst	Alone	1	389.4	389.4	NA	NA	NA	38.4
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Vig	Short Neck	12	341.029	28.419	20.326	NA	NA	33.7
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Vig	Mid neck	7	66.353	9.479	4.694	NA	NA	6.5
PZ10	2024-04-1201:31:49	Triple/ split  FCP	Jurek	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	1013.280	1013.280	No focal subject	Vig	Long neck	3	73.397	24.466	23.288	NA	NA	7.2
