Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Ass	Kin	2	647.0	323.5	19.884	NA	NA	88.2
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Mov	Away from speaker	5	150.758	30.152	43.305	NA	NA	20.5
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Mov	Towards speaker	1	9.599	9.599	NA	NA	NA	1.3
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Dhb		1	243.64	243.64	NA	NA	NA	33.2
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Hab		1	243.76	243.76	NA	NA	NA	33.2
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Look	Away from speaker	55	NA	NA	NA	0.0	0.0	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Look	At speaker	76	NA	NA	NA	0.0	0.0	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Voc	Recruitment	4	NA	NA	NA	0.0	0.0	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Voc	Contact	14	NA	NA	NA	0.0	0.0	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	HSH		4	NA	NA	NA	0.0	0.0	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	FVO	Distance	37	NA	NA	NA	0.0	0.0	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	FVO	Other	39	NA	NA	NA	0.0	0.0	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	FVO	Recruitment	4	NA	NA	NA	0.0	0.0	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Eat	Alone	1	4.479	4.479	NA	NA	NA	0.6
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Eat	With kin	1	284.639	284.639	NA	NA	NA	38.8
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Pre	With kin	4	151.637	37.909	34.968	NA	NA	20.7
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Vig	Mid neck	5	94.916	18.983	19.341	NA	NA	12.9
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Vig	Long neck	3	81.757	27.252	16.965	NA	NA	11.1
QM82	2024-04-1219:06:16		EinStein	FRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	1m	0.000	733.920	733.920	No focal subject	Vig	Short Neck	2	8.038	4.019	0.255	NA	NA	1.1
