Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Ass	Kin	1	705.12	705.12	NA	NA	NA	100.0
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Dhb		1	243.68	243.68	NA	NA	NA	34.6
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Hab		1	249.64	249.64	NA	NA	NA	35.4
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Look	Away from speaker	15	NA	NA	NA	0.0	0.0	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Look	At speaker	24	NA	NA	NA	0.0	0.0	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	HSH		5	NA	NA	NA	0.0	0.0	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Htlt		4	NA	NA	NA	0.0	0.0	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	FVO	Distance	70	NA	NA	NA	0.0	0.0	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	FVO	Other	26	NA	NA	NA	0.0	0.0	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	FVO	Recruitment	1	NA	NA	NA	NA	NA	NA
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Eat	With kin	1	18.039	18.039	NA	NA	NA	2.6
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Pre	Alone	1	87.119	87.119	NA	NA	NA	12.4
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Pre	With kin	3	115.437	38.479	30.527	NA	NA	16.4
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Rst	With kin	1	459.04	459.04	NA	NA	NA	65.1
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Vig	Long neck	2	9.518	4.759	0.17	NA	NA	1.3
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Vig	Short Neck	2	13.758	6.879	0.453	NA	NA	2.0
TA14	2024-06-1912:18:55		Emu	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Vig	Mid neck	1	2.199	2.199	NA	NA	NA	0.3
