Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Ass	Kin	1	699.36	699.36	NA	NA	NA	100.0
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Dhb		1	246.08	246.08	NA	NA	NA	35.2
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Hab		1	244.88	244.88	NA	NA	NA	35.0
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Look		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Voc	Contact	5	NA	NA	NA	0.0	0.0	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	FVO	Other	3	NA	NA	NA	0.0	0.0	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	FVO	Distance	30	NA	NA	NA	0.0	0.0	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	FVO	Recruitment	27	NA	NA	NA	0.0	0.0	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Pre		0	NA	NA	NA	NA	NA	NA
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Rst	With kin	1	699.36	699.36	NA	NA	NA	100.0
TJ50	2024-06-2011:21:55		Dorothea	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Vig		0	NA	NA	NA	NA	NA	NA
