Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Ass	Kin	1	693.6	693.6	NA	NA	NA	100.0
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Mov	Away from speaker	1	3.6	3.6	NA	NA	NA	0.5
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Dhb		1	245.4	245.4	NA	NA	NA	35.4
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Hab		1	247.84	247.84	NA	NA	NA	35.7
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Look	At speaker	65	NA	NA	NA	0.0	0.0	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Look	Away from speaker	39	NA	NA	NA	0.0	0.0	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	HSH		5	NA	NA	NA	0.0	0.0	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Htlt		7	NA	NA	NA	0.0	0.0	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	FVO	Distance	71	NA	NA	NA	0.0	0.0	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	FVO	Other	39	NA	NA	NA	0.0	0.0	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Pre	With kin	23	260.777	11.338	7.801	NA	NA	37.6
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Rst	With kin	5	247.035	49.407	43.177	NA	NA	35.6
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Vig	Short Neck	17	102.424	6.025	3.653	NA	NA	14.8
XE58	2024-07-0621:12:11		Hera	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	693.600	693.600	No focal subject	Vig	Mid neck	7	79.874	11.411	8.491	NA	NA	11.5
