Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Ass	Kin	1	726.72	726.72	NA	NA	NA	100.0
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Dhb		1	233.8	233.8	NA	NA	NA	32.2
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Hab		1	245.2	245.2	NA	NA	NA	33.7
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Look	At speaker	10	NA	NA	NA	0.0	0.0	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Look	Away from speaker	31	NA	NA	NA	0.0	0.0	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Voc	Distance	2	NA	NA	NA	0.0	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Voc	Other	1	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	HSH		2	NA	NA	NA	0.0	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	FVO	Distance	32	NA	NA	NA	0.0	0.0	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	FVO	Other	33	NA	NA	NA	0.0	0.0	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Pre	With kin	10	143.031	14.303	11.417	NA	NA	19.7
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Rst	With kin	3	488.517	162.839	111.376	NA	NA	67.2
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Vig	Mid neck	11	85.149	7.741	4.982	NA	NA	11.7
ZP69	2024-07-1515:59:17		Batate	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	726.720	726.720	No focal subject	Vig	Long neck	1	9.999	9.999	NA	NA	NA	1.4
