Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Ass	Kin	1	592.16	592.16	NA	NA	NA	83.0
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Fllw	Kin	4	NA	NA	NA	0.0	0.0	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Mov	Away from speaker	8	281.677	35.21	40.314	NA	NA	39.5
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Dhb		1	235.52	235.52	NA	NA	NA	33.0
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Hab		1	242.84	242.84	NA	NA	NA	34.0
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Look	At speaker	27	NA	NA	NA	0.0	0.0	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Look	Away from speaker	29	NA	NA	NA	0.0	0.0	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Voc	Contact	2	NA	NA	NA	0.0	NA	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	HSH		8	NA	NA	NA	0.0	0.0	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Htlt		3	NA	NA	NA	0.0	0.0	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Eat	Alone	2	10.519	5.259	0.991	NA	NA	1.5
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Eat	With kin	3	42.318	14.106	9.449	NA	NA	5.9
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Pre	With kin	2	57.359	28.68	32.187	NA	NA	8.0
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Rst	With kin	2	218.119	109.059	129.062	NA	NA	30.6
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Vig	Mid neck	5	84.038	16.808	12.571	NA	NA	11.8
BB49	2023-12-2219:32:39		Jafar	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.880	716.160	713.280	No focal subject	Vig	Short Neck	1	15.56	15.56	NA	NA	NA	2.2
