Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Ass	Kin	1	724.8	724.8	NA	NA	NA	100.0
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Fllw	Kin	3	NA	NA	NA	0.0	0.0	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Mov	Away from speaker	7	180.718	25.817	25.651	NA	NA	24.9
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Dhb		1	245.6	245.6	NA	NA	NA	33.9
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Hab		1	246.04	246.04	NA	NA	NA	33.9
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Look	At speaker	37	NA	NA	NA	0.0	0.0	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Look	Away from speaker	57	NA	NA	NA	0.0	0.0	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Voc	Distance	2	NA	NA	NA	0.0	NA	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Voc	Contact	4	NA	NA	NA	0.0	0.0	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Voc	Recruitment	2	NA	NA	NA	0.0	NA	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Htlt		2	NA	NA	NA	0.0	NA	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Eat	With kin	3	23.08	7.693	4.169	NA	NA	3.2
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Pre	With kin	3	24.478	8.159	1.701	NA	NA	3.4
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Rst	With kin	1	121.319	121.319	NA	NA	NA	16.7
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Vig	Mid neck	11	223.995	20.363	27.992	NA	NA	30.9
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Vig	Long neck	4	87.159	21.79	11.949	NA	NA	12.0
BC74	2023-12-2520:35:15		Trevor	PRF		2022-09-11T10:00:00	 outermost periphery	 Sunny	KLF	Departure	 2m	0.000	724.800	724.800	No focal subject	Vig	Short Neck	2	64.92	32.46	26.729	NA	NA	9.0
