Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Ass	Kin	1	748.32	748.32	NA	NA	NA	100.0
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Mov	Away from speaker	1	8.839	8.839	NA	NA	NA	1.2
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Dhb		1	246.96	246.96	NA	NA	NA	33.0
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Hab		1	252.16	252.16	NA	NA	NA	33.7
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Look	At speaker	22	NA	NA	NA	0.0	0.0	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Look	Away from speaker	23	NA	NA	NA	0.0	0.0	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	HSH		2	NA	NA	NA	0.0	NA	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Htlt		11	NA	NA	NA	0.0	0.0	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Pre	With kin	3	46.159	15.386	9.657	NA	NA	6.2
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Rst	With kin	3	629.078	209.693	259.071	NA	NA	84.1
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Vig	Short Neck	3	38.237	12.746	9.276	NA	NA	5.1
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Vig	Long neck	1	5.519	5.519	NA	NA	NA	0.7
CY33	2024-01-0501:46:27	Triple/edit (end not useful)	Karolina	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	 2m	0.000	748.320	748.320	No focal subject	Vig	Mid neck	1	4.879	4.879	NA	NA	NA	0.7
