Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Ass	Kin	3	319.92	106.64	57.822	NA	NA	45.9
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Fllw	Kin	1	NA	NA	NA	NA	NA	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Mov	Towards speaker	2	47.198	23.599	0.566	NA	NA	6.8
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Mov	Away from speaker	8	174.197	21.775	16.192	NA	NA	25.0
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Dhb		1	244.84	244.84	NA	NA	NA	35.2
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Hab		1	253.24	253.24	NA	NA	NA	36.4
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Look	At speaker	47	NA	NA	NA	0.0	0.0	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Look	Away from speaker	105	NA	NA	NA	0.0	0.0	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Voc	Contact	15	NA	NA	NA	0.0	0.0	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Voc	Recruitment	8	NA	NA	NA	0.0	0.0	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	HSH		8	NA	NA	NA	0.0	0.0	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Htlt		5	NA	NA	NA	0.0	0.0	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Eat	Alone	7	100.553	14.365	6.299	NA	NA	14.4
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Eat	With kin	4	57.596	14.399	13.37	NA	NA	8.3
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Pre	With kin	1	108.319	108.319	NA	NA	NA	15.6
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Pre	Alone	2	10.798	5.399	2.263	NA	NA	1.6
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Vig	Short Neck	1	131.639	131.639	NA	NA	NA	18.9
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Vig	Mid neck	8	177.394	22.174	19.497	NA	NA	25.5
EW88	2024-01-2318:18:44		Romy	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	 recruitment	1m	0.000	696.480	696.480	No focal subject	Vig	Long neck	2	10.839	5.419	1.442	NA	NA	1.6
