Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Ass	Kin	1	704.64	704.64	NA	NA	NA	100.0
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Fllw	Kin	1	NA	NA	NA	NA	NA	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Mov	Away from speaker	2	95.44	47.72	21.949	NA	NA	13.5
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Dhb		1	246.32	246.32	NA	NA	NA	35.0
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Hab		1	245.32	245.32	NA	NA	NA	34.8
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Look	At speaker	8	NA	NA	NA	0.0	0.0	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Look	Away from speaker	57	NA	NA	NA	0.0	0.0	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Voc	Contact	2	NA	NA	NA	0.0	NA	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	HSH		3	NA	NA	NA	0.0	0.0	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Htlt		9	NA	NA	NA	0.0	0.0	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	FVO	Other	8	NA	NA	NA	0.0	0.0	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Pre		0	NA	NA	NA	NA	NA	NA
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Rst	With kin	6	476.635	79.439	159.356	NA	NA	67.6
GD31	2024-02-1720:41:27		Rosenrot	PRF		2022-09-11T10:00:00	 Inner eriphery	 Sunny	KLF	 recruitment	 2m	0.000	704.640	704.640	No focal subject	Vig	Short Neck	8	160.477	20.06	16.391	NA	NA	22.8
