Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Ass	Kin	2	622.72	311.36	355.024	NA	NA	86.4
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Fllw	Kin	3	NA	NA	NA	0.0	0.0	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Agn	Towards other	5	NA	NA	NA	0.0	0.0	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Mov	Towards speaker	4	34.756	8.689	4.422	NA	NA	4.8
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Mov	Away from speaker	11	151.594	13.781	11.557	NA	NA	21.0
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Dhb		1	245.6	245.6	NA	NA	NA	34.1
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Hab		1	251.0	251.0	NA	NA	NA	34.8
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Look	At speaker	40	NA	NA	NA	0.0	0.0	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Look	Away from speaker	59	NA	NA	NA	0.0	0.0	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Voc	Contact	29	NA	NA	NA	0.0	0.0	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	HSH		8	NA	NA	NA	0.0	0.0	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	FVO	Distance	5	NA	NA	NA	0.0	0.0	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	FVO	Other	4	NA	NA	NA	0.0	0.0	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Eat	With kin	17	435.103	25.594	37.382	NA	NA	60.4
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Pre	Alone	1	10.159	10.159	NA	NA	NA	1.4
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Vig	Mid neck	18	237.583	13.199	16.225	NA	NA	33.0
LG98	2024-03-1112:17:40		Anthony	FC		2022-09-11T10:00:00	Outermost periphery	Rainy	KLF	Recruitment	2m	0.000	720.480	720.480	No focal subject	Vig	Long neck	1	28.599	28.599	NA	NA	NA	4.0
