Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Ass	Kin	2	688.8	344.4	367.3	NA	NA	97.1
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Fllw	Kin	1	NA	NA	NA	NA	NA	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Agn	Towards other	3	NA	NA	NA	0.0	0.0	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Mov	Towards speaker	4	30.278	7.569	5.729	NA	NA	4.3
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Mov	Away from speaker	3	87.479	29.16	18.046	NA	NA	12.3
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Dhb		1	245.8	245.8	NA	NA	NA	34.6
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Hab		1	258.12	258.12	NA	NA	NA	36.4
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Look	At speaker	42	NA	NA	NA	0.0	0.0	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Look	Away from speaker	37	NA	NA	NA	0.0	0.0	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Voc	Contact	7	NA	NA	NA	0.0	0.0	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Voc	Other	2	NA	NA	NA	0.0	NA	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	HSH		11	NA	NA	NA	0.0	0.0	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Htlt		5	NA	NA	NA	0.0	0.0	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	FVO	Other	5	NA	NA	NA	0.0	0.0	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	FVO	Distance	1	NA	NA	NA	NA	NA	NA
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Eat	With kin	1	16.679	16.679	NA	NA	NA	2.4
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Pre	With kin	6	61.755	10.293	6.276	NA	NA	8.7
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Rst	With kin	3	355.077	118.359	92.355	NA	NA	50.1
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Vig	Mid neck	9	107.872	11.986	13.355	NA	NA	15.2
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Vig	Short Neck	5	115.675	23.135	24.468	NA	NA	16.3
NH43	2024-03-1720:49:47		Lando	FRF		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	709.440	709.440	No focal subject	Vig	Long neck	1	9.319	9.319	NA	NA	NA	1.3
