Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Ass	Kin	1	295.8	295.8	NA	NA	NA	42.3
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Mov	Away from speaker	1	15.52	15.52	NA	NA	NA	2.2
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Dhb		1	244.08	244.08	NA	NA	NA	34.9
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Hab		1	247.0	247.0	NA	NA	NA	35.3
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Look	At speaker	37	NA	NA	NA	0.0	0.0	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Look	Away from speaker	30	NA	NA	NA	0.0	0.0	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Voc	Contact	7	NA	NA	NA	0.0	0.0	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	HSH		1	NA	NA	NA	NA	NA	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Htlt		2	NA	NA	NA	0.0	NA	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	FVO	Other	5	NA	NA	NA	0.0	0.0	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	FVO	Distance	3	NA	NA	NA	0.0	0.0	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Pre	With kin	11	95.389	8.672	5.671	NA	NA	13.6
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Pre	Alone	1	6.759	6.759	NA	NA	NA	1.0
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Rst	With kin	2	29.519	14.76	9.674	NA	NA	4.2
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Rst	Alone	2	396.079	198.04	249.581	NA	NA	56.6
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Vig	Mid neck	8	111.352	13.919	14.152	NA	NA	15.9
OA29	2024-03-2022:59:42		Jessica	FC		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	699.840	699.840	No focal subject	Vig	Short Neck	2	60.158	30.079	5.035	NA	NA	8.6
