Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Ass	Kin	1	834.72	834.72	NA	NA	NA	100.0
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Mov	Away from speaker	2	16.04	8.02	7.156	NA	NA	1.9
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Dhb		1	273.04	273.04	NA	NA	NA	32.7
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Hab		3	301.92	100.64	103.964	NA	NA	36.2
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Look	At speaker	69	NA	NA	NA	0.0	0.0	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Look	Away from speaker	49	NA	NA	NA	0.0	0.0	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Htlt		10	NA	NA	NA	0.0	0.0	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	FVO	Other	39	NA	NA	NA	0.0	0.0	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	FVO	Distance	19	NA	NA	NA	0.0	0.0	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Pre	With kin	6	126.156	21.026	25.429	NA	NA	15.1
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Rst	With kin	7	280.874	40.125	27.497	NA	NA	33.6
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Vig	Short Neck	9	156.711	17.412	26.146	NA	NA	18.8
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Vig	Mid neck	3	93.077	31.026	20.778	NA	NA	11.2
PM15	2024-04-1010:32:46		Anthony	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	834.720	834.720	No focal subject	Vig	Long neck	1	35.839	35.839	NA	NA	NA	4.3
