Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Ass	Kin	2	693.04	346.52	379.009	NA	NA	94.6
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Dhb		1	243.36	243.36	NA	NA	NA	33.2
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Hab		1	246.08	246.08	NA	NA	NA	33.6
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Look	Away from speaker	32	NA	NA	NA	0.0	0.0	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Look	At speaker	14	NA	NA	NA	0.0	0.0	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Voc	Other	2	NA	NA	NA	0.0	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Voc	Contact	1	NA	NA	NA	NA	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	HSH		3	NA	NA	NA	0.0	0.0	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Htlt		2	NA	NA	NA	0.0	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	FVO	Other	42	NA	NA	NA	0.0	0.0	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	FVO	Recruitment	39	NA	NA	NA	0.0	0.0	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	FVO	Distance	27	NA	NA	NA	0.0	0.0	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	FVO	Contact	1	NA	NA	NA	NA	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Pre	With kin	5	144.435	28.887	21.363	NA	NA	19.7
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Rst	With kin	1	500.399	500.399	NA	NA	NA	68.3
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Vig	Short Neck	4	21.876	5.469	1.99	NA	NA	3.0
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Vig	Mid neck	3	39.117	13.039	15.182	NA	NA	5.3
RD59	2024-04-1501:04:42		Besenstiel	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	732.480	732.480	No focal subject	Vig	Long neck	1	26.64	26.64	NA	NA	NA	3.6
