Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Ass	Kin	1	696.96	696.96	NA	NA	NA	100.0
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Dhb		1	245.0	245.0	NA	NA	NA	35.2
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Hab		1	253.68	253.68	NA	NA	NA	36.4
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Look		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	FVO	Other	31	NA	NA	NA	0.0	0.0	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	FVO	Distance	31	NA	NA	NA	0.0	0.0	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	FVO	Recruitment	26	NA	NA	NA	0.0	0.0	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Pre		0	NA	NA	NA	NA	NA	NA
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Rst	With kin	1	696.96	696.96	NA	NA	NA	100.0
TV91	2024-06-2012:55:54		Dorothea	FC		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	696.960	696.960	No focal subject	Vig		0	NA	NA	NA	NA	NA	NA
