Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Ass	Kin	1	707.52	707.52	NA	NA	NA	100.0
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Fllw	Kin	2	NA	NA	NA	0.0	NA	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Agn	Towards other	9	NA	NA	NA	0.0	0.0	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Mov	Away from speaker	11	145.716	13.247	11.112	NA	NA	20.6
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Mov	Towards speaker	2	20.118	10.059	5.911	NA	NA	2.8
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Dhb		1	244.92	244.92	NA	NA	NA	34.6
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Hab		1	262.67	262.67	NA	NA	NA	37.1
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Look	Away from speaker	116	NA	NA	NA	0.0	0.0	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Look	At speaker	48	NA	NA	NA	0.0	0.0	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Voc		0	NA	NA	NA	NA	NA	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	HSH		4	NA	NA	NA	0.0	0.0	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	FVO	Other	9	NA	NA	NA	0.0	0.0	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	FVO	Distance	23	NA	NA	NA	0.0	0.0	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	FVO	Recruitment	6	NA	NA	NA	0.0	0.0	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	FVO	Departure	1	NA	NA	NA	NA	NA	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Eat	With kin	18	338.862	18.826	25.409	NA	NA	47.9
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Pre	With kin	6	33.154	5.526	2.057	NA	NA	4.7
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Vig	Long neck	9	56.871	6.319	4.027	NA	NA	8.0
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Vig	Mid neck	12	175.709	14.642	15.292	NA	NA	24.8
UO91	2024-06-2301:09:27		Hera	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	1m	0.000	707.520	707.520	No focal subject	Vig	Short Neck	1	81.679	81.679	NA	NA	NA	11.5
