Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Ass	Kin	1	737.28	737.28	NA	NA	NA	100.0
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Dhb		1	244.04	244.04	NA	NA	NA	33.1
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Hab		1	247.28	247.28	NA	NA	NA	33.5
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Look	At speaker	69	NA	NA	NA	0.0	0.0	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Look	Away from speaker	27	NA	NA	NA	0.0	0.0	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Voc	Contact	2	NA	NA	NA	0.0	NA	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	HSH		1	NA	NA	NA	NA	NA	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Htlt		4	NA	NA	NA	0.0	0.0	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	FVO	Distance	21	NA	NA	NA	0.0	0.0	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	FVO	Other	30	NA	NA	NA	0.0	0.0	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Pre	With kin	14	434.746	31.053	26.761	NA	NA	59.0
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Rst	With kin	3	121.717	40.572	17.934	NA	NA	16.5
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Vig	Mid neck	8	76.833	9.604	15.187	NA	NA	10.4
VA51	2024-06-2422:50:22		Lukka	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Vig	Short Neck	8	103.952	12.994	17.176	NA	NA	14.1
