Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Ass	Kin	1	709.44	709.44	NA	NA	NA	100.0
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Dhb		1	245.0	245.0	NA	NA	NA	34.5
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Hab		1	243.92	243.92	NA	NA	NA	34.4
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Look	Away from speaker	42	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Look	At speaker	8	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Voc	Distance	4	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	HSH		3	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Htlt		3	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	FVO	Distance	58	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	FVO	Recruitment	3	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	FVO	Other	25	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	FVO	Departure	5	NA	NA	NA	0.0	0.0	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Pre	With kin	11	135.989	12.363	12.053	NA	NA	19.2
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Rst	With kin	4	474.596	118.649	69.346	NA	NA	66.9
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Vig	Mid neck	10	68.871	6.887	4.296	NA	NA	9.7
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Vig	Long neck	3	22.557	7.519	6.951	NA	NA	3.2
WZ29	2024-07-0404:10:46	Repititon, check which is better	Jurek	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m	0.000	709.440	709.440	No focal subject	Vig	Short Neck	1	7.399	7.399	NA	NA	NA	1.0
