Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Ass	Kin	1	737.28	737.28	NA	NA	NA	100.0
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Dhb		1	254.04	254.04	NA	NA	NA	34.5
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Hab		1	251.8	251.8	NA	NA	NA	34.2
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Look	At speaker	13	NA	NA	NA	0.0	0.0	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Look	Away from speaker	3	NA	NA	NA	0.0	0.0	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Voc	Distance	4	NA	NA	NA	0.0	0.0	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	FVO	Distance	61	NA	NA	NA	0.0	0.0	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	FVO	Other	15	NA	NA	NA	0.0	0.0	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	FVO	Departure	49	NA	NA	NA	0.0	0.0	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	FVO	Recruitment	8	NA	NA	NA	0.0	0.0	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Pre	With kin	1	3.959	3.959	NA	NA	NA	0.5
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Rst	With kin	3	695.558	231.853	98.229	NA	NA	94.3
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Vig	Short Neck	1	1.199	1.199	NA	NA	NA	0.2
ZR51	2024-07-1516:49:30		Lando	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m	0.000	737.280	737.280	No focal subject	Vig	Mid neck	2	36.558	18.279	2.036	NA	NA	5.0
