Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/JH15.MP4	0	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Pre	Time budget	With kin	START	0	G:/Individual recognition vids/Blind videos/JH15.MP4	0	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	At speaker	POINT	7.56	G:/Individual recognition vids/Blind videos/JH15.MP4	189	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Pre	Time budget	With kin	STOP	10.919	G:/Individual recognition vids/Blind videos/JH15.MP4	NA	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Rst	Time budget	With kin	START	10.92	G:/Individual recognition vids/Blind videos/JH15.MP4	273	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Rst	Time budget	With kin	STOP	24.679	G:/Individual recognition vids/Blind videos/JH15.MP4	NA	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Agn	Interaction	Towards other	POINT	24.68	G:/Individual recognition vids/Blind videos/JH15.MP4	617	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Vig	Time budget	Short Neck	START	24.68	G:/Individual recognition vids/Blind videos/JH15.MP4	617	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	At speaker	POINT	26.72	G:/Individual recognition vids/Blind videos/JH15.MP4	668	NA	NA
Allegra_PRF_08102022_0856	2024-02-26T23:07:59Z	NA	734.4	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/JH15.MP4	734.4	25	Allegra	PRF	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	recruitment	2m	NA	Look	Reaction	At speaker	POINT	28	G:/Individual recognition vids/Blind videos/JH15.MP4	700	NA	NA
